產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"電機機械","2066","世德","118430","198","598","565","5.84%","529","508","4.13%","6.16","725","2.47","N","Y","N","113年度雖EPS高於同業平均數，但因本公司後段製程屬勞力密集，需大量基層員工(含外籍移工)
，導致拉低平均薪資，薪資水準在南部地區尚屬合理。","已修改公司章程為基層員工&#22679;加酬勞分配比率，績效若達標亦加發放獎金。",
"電機機械","2067","嘉鋼","89951","179","503","542","-7.20%","479","482","-0.62%","-2.74","725","2.47","N","N","N","","",
"電機機械","2070","精湛","70319","98","718","679","5.74%","670","632","6.01%","2.97","725","2.47","N","Y","N","本公司基層員工占比較高，
加上地處傳產扣件產業區，
區域性薪資行情較低。","本公司自113年5月啟動員工持股信託，依EPS訂定公提金比例，
讓員工共享經營成果。另於114年起自獲利提撥之1~6%員工酬勞，
承諾至少60%分配予基層員工，以促進薪酬公平，
並持續優化公司整體薪資結構。",
"鋼鐵工業","2073","雄順","104498","167","626","541","15.71%","571","491","16.29%","0.63","804","2.00","N","N","N","","",
"其他","2221","大甲","121502","212","573","512","11.91%","499","419","19.09%","2.02","695","2.24","N","N","N","","",
"電機機械","2230","泰茂","50320","93","541","570","-5.09%","490","554","-11.55%","6.10","725","2.47","N","Y","Y","1.外籍移工佔全公司人數約30%，月薪約27,470元，拉低平均薪資數。
2.現場作業人員(如包裝.生管.品管)，佔全公司人數2/3，月薪約35,000元，拉低平均薪資數。","公司與於114年股東會通過修改章程第22條增加"員工酬勞數額中，應提撥不低於10%為基層員工分派酬勞"。",
"電機機械","2235","謚源","91449","182","502","471","6.58%","454","410","10.73%","2.67","725","2.47","N","Y","N","113年度營業淨利是減少的，淨利率也較同業低，EPS成長係匯兌收益成長且佔盈餘的22%。本公司非高科技，產線員工佔74%，另26%員工，其年薪較高超過50萬的研發人員僅9人，餘為年薪低於50萬的行政人員，故低於同業水準。","114年Q1已完成產線人員4%的調薪作業。因今年關稅不確定因素影響，加上台幣強升造成毛利下降，故行政人員薪資部分將視獲利狀況於Q4規劃。",
"建材營造","2596","綠意","7771","10","777","716","8.52%","811","752","7.85%","0.67","1007","3.22","N","N","N","","",
"數位雲端","2640","大車隊","260023","398","653","645","1.24%","512","510","0.39%","8.93","841","2.11","N","Y","N","關於EPS高於同業平均數惟非經理人全時員工薪資平均數低於同業水準，乃因公司經營業務項目有將近3成員工屬基層作業員性質，其薪資趨近於基本薪資，因此平均數值較低，以上說明，謝謝。","本公司依營運績效、貢獻度及業界標準檢討酬金政策，強化管理效能並留任人才；員工酬勞依章程按獲利提撥，薪資報酬委員會每年檢視合理性並報董事會。",
"航運業","2641","正德","43484","44","988","836","18.18%","902","773","16.69%","1.92","972","2.93","N","N","N","","",
