產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"光電業","3615","安可","65411","75","872","804","8.46%","609","665","-8.42%","0.00","856","2.40","N","N","N","","",
"光電業","3623","富晶通","70112","111","632","581","8.78%","540","527","2.47%","-0.93","856","2.40","N","N","N","","",
"電子零組件業","3624","光頡","513569","750","685","648","5.71%","584","537","8.75%","2.06","747","2.21","N","N","N","","",
"電腦及週邊設備業","3625","西勝","70217","84","836","810","3.21%","704","729","-3.43%","-1.39","909","4.39","N","N","N","","",
"其他電子業","3628","盈正","263888","323","817","796","2.64%","724","690","4.93%","2.15","958","4.44","N","N","N","","",
"文化創意業","3629","地心引力","5131","8","641","587","9.20%","550","423","30.02%","-1.05","1357","7.81","N","N","N","","",
"光電業","3630","新鉅科","132387","161","822","803","2.37%","721","703","2.56%","-2.52","856","2.40","N","N","N","","",
"電子零組件業","3631","晟楠","1822","3","607","616","-1.46%","538","499","7.82%","-0.56","747","2.21","N","N","Y","本公司&#63886;&#64001;如有獲&#63965;，應提撥（一）員工酬勞百分之六；（二）董事酬勞不高於百分之五；但公司尚有累積虧損時，應預先保留彌補數額。","113年度非經理人之全時員工(年度)薪資平均數未達50萬元主要原因為人員離職, 空窗期期間未支付薪資所造成。
擬透過就業服務站聘僱待業員工，縮短因員工離職造成空窗期。",
"通信網路業","3632","研勤","28498","31","919","935","-1.71%","721","730","-1.23%","-0.29","840","2.51","N","N","N","","",
"電子零組件業","3646","艾恩特","4589","5","918","971","-5.46%","1026","940","9.15%","1.39","747","2.21","N","N","Y","113年度下半年景氣持續下行，訂單減少，客戶要求降價，本司啟動全面費用樽節，故薪資平均數微減。
本司將持續優化獎酬機制，讓員工分享公司獲利成長成果。","已優化獎酬機制(稅前利益提撥不低於1%為員工酬勞，前項員工酬勞數額中，提撥不低於1%為基層員工分派酬勞)，讓員工分享公司獲利成果。",
"其他電子業","3663","鑫科","143673","198","726","738","-1.63%","709","730","-2.88%","0.66","958","4.44","N","N","Y","公司本業受面板產業影響，經營績效縮減，主要獎金與本業之經營績效高度掛勾。本公司EPS的成長，係因本年度併購轉投資事業公司盈餘挹注所得之獲利，相關盈餘獲利亦提撥轉為產銷獎金發放，以彌補本業所受之衝擊。","公司經營方向已調整為半導體業並以集團經營綜效為獲利考量，以減輕面板業相關業務的衝擊，隨著新供應鏈的參與和信任，本業的業績預計可獲得有效性的改善。",
"光電業","3666","光耀","87515","150","583","565","3.19%","531","522","1.72%","-5.29","856","2.40","N","N","N","","",
"通信網路業","3672","康聯訊","82396","96","858","836","2.63%","714","711","0.42%","-2.04","840","2.51","N","N","N","","",
"半導體業","3675","德微","200943","283","710","675","5.19%","613","573","6.98%","8.34","1307","5.21","N","Y","N","113年因全球景氣仍未回升，影響公司年度獲利不如預期，致公司113年各類獎金未能足額發放，使平均薪資下滑。","待景氣回升，將評估業界水平，訂定更具鼓勵性獎酬政策以利內部留才。",
"半導體業","3680","家登","586499","564","1040","891","16.72%","877","774","13.31%","12.32","1307","5.21","N","Y","N","我司製造人力占六成，人力結構與同業不同，平均薪資不具可比性；公司連續三年優於業界調薪並推動多元獎酬，含113年成家計畫、員工認股權等長期激勵措施，申報數僅為部分獎酬，無法全面呈現實質照顧同仁之感受。","參與薪資調查報告、並持續推動多元獎酬、成家計劃、員工認股…等，依公司獲利狀況逐年建議薪酬提撥數貼近大廠，並對分析產業年薪，持續保持業界調薪競爭力。",
"通信網路業","3684","榮昌","54529","80","682","753","-9.43%","553","593","-6.75%","2.80","840","2.51","N","Y","Y","因業務急需求擴增短期生產人力致年化薪資略低.","人力配置將因應公司營運需求佈局, 以達成勞資雙贏的目標",
"電機機械","3685","元創精密","4986","7","712","680","4.71%","713","724","-1.52%","-0.53","725","2.47","N","N","N","","",
"數位雲端","3687","歐買尬","24083","30","803","760","5.66%","757","698","8.45%","2.33","841","2.11","N","Y","N","本公司113年度EPS主要來自業外投資收入, 且未滿6個月人數有10人, 致計入全時員工較少, 惟若平均薪資較前一年成長2.8%, 應屬合理。","已修改章程, 明訂基層員工酬勞比率, 並持續重視員工福利, 降低員工離職率。",
"電子零組件業","3689","湧德","118303","102","1160","1098","5.65%","1081","1005","7.56%","6.42","747","2.21","N","N","N","","",
"光電業","3691","碩禾","186439","230","811","792","2.40%","689","673","2.38%","-5.61","856","2.40","N","N","N","","",
"電腦及週邊設備業","3693","營邦","833267","602","1384","1419","-2.47%","1172","1201","-2.41%","27.30","909","4.39","N","N","Y","因基層人力短缺，外籍員工佔比達直接人工比重達68%，故平均薪資較同業略低。","本公司實施年終獎金制度，以年度營運績效結果做為獎金、晉升及調薪之參考，將持續致力員工薪酬結構之優化。",
"半導體業","3707","漢磊","761599","804","947","930","1.83%","839","835","0.48%","-1.51","1307","5.21","N","N","N","","",
"電腦及週邊設備業","3709","鑫聯大投控","223921","282","794","744","6.72%","657","598","9.87%","2.43","909","4.39","N","N","N","","",
"電子零組件業","3710","連展投控","86556","102","849","842","0.83%","773","738","4.74%","-0.48","747","2.21","N","N","N","","",
"綠能環保","3713","新晶投控","17663","35","505","479","5.43%","434","373","16.35%","-0.53","826","3.76","N","N","N","","",
"生技醫療業","4102","永日","94197","130","725","733","-1.09%","656","667","-1.65%","1.52","787","0.41","N","Y","Y","因人員異動，導致任職未滿六個月的人數增加，致使公司平均薪資相較於同業略少。","本公司將繼續提升營運績效，提高員工薪酬。",
"生技醫療業","4105","東洋","655616","515","1273","1244","2.33%","1073","1051","2.09%","5.83","787","0.41","N","N","N","","",
"生技醫療業","4107","邦特","242741","388","626","607","3.13%","541","535","1.12%","7.62","787","0.41","N","Y","N","同為生醫產業，營運模式與人才結構差異大，平均值易受拉低。
113年非擔任主管職務之全時員工薪資總額相較前年增加7.5%，平均薪資提升3%。
公司營運持續成長，著重永續與成本控管，避免大幅調薪造成財務不確定性。","持續依市場趨勢及經營成果調整薪資，調幅維持在3%至6%。並參考同業的薪酬策略，適時調整薪資，逐年縮小與產業平均之落差。
將公司獲利提撥百分之五以上作為員工酬勞與基層員工調整薪資，確保公司利潤與員工共享。",
"生技醫療業","4109","加捷生醫","27444","53","518","491","5.50%","484","481","0.62%","2.16","787","0.41","N","Y","N","員工薪資總額除受各月給薪人數增減變化之影響外，亦因個月給薪人數增減變化及個人敘薪金額不同而有所影響；資淺(新進)員工較多亦為影響之因素。","降低員工的流動率，提升新進員工的留職率；另當公司有獲利時，適時提撥一定比率，作為非經理人之全時員工調薪或給予紅利獎金之用。",
"生技醫療業","4111","濟生","155172","252","616","579","6.39%","586","542","8.12%","1.94","787","0.41","N","Y","N","因113年大型輸液缺藥事件，新增醫學中心客戶及健保給付價格調整，致營業收入與本期淨利顯著成長，EPS表現優於同業。","為配合整體獲利提升，並激勵員工士氣與留才策略，已於114年4月全面調薪，調幅為2%至5.5%，平均調幅4%。",
"建材營造","4113","聯上","22279","23","969","627","54.55%","901","628","43.47%","3.55","1007","3.22","N","Y","N","113年度營收係屬先前年度之預售個案，期間人員異動貢獻度亦有所不同。年度終了由各部門主管考核後，依其考核結果核發。經扣減先前待彌補虧損後，並依據公司章程提撥一定比率做為員工酬勞發放，應屬合理允當。","每年定期於1月份進行調薪考核評估，參考市場行情及物價等因素進行全面性調薪評估，做適當調薪依據。不論盈虧於否亦會發放年終獎金以慰勞員工一年之辛勞。倘有營盈依其法令提撥員工酬勞，共享營運成果，以達共榮。",
"生技醫療業","4114","健喬","523285","441","1187","1123","5.70%","939","836","12.32%","1.63","787","0.41","N","N","N","","",
"生技醫療業","4116","明基醫","103705","114","910","882","3.17%","838","827","1.33%","2.35","787","0.41","N","N","N","","",
"生技醫療業","4120","友華","270772","247","1096","1112","-1.44%","932","957","-2.61%","-3.27","787","0.41","N","N","N","","",
"生技醫療業","4121","優盛","61498","87","707","693","2.02%","651","609","6.90%","-0.34","787","0.41","N","N","N","","",
"生技醫療業","4123","晟德","175693","176","998","957","4.28%","833","831","0.24%","-1.55","787","0.41","N","N","N","","",
"生技醫療業","4126","太醫","456155","756","603","578","4.33%","532","501","6.19%","6.17","787","0.41","N","Y","N","本公司近年營收穩健良好，長期開發供應多樣化醫材產品，基層人力需求較高，113年約占全體員工人數62.3%；全時員工平均薪資較前一年成長4.3%。","113年公司動員工持股信託，持續優化薪酬福利。",
"生技醫療業","4127","天良","27322","50","546","536","1.87%","499","483","3.31%","0.26","787","0.41","N","N","N","","",
"生技醫療業","4128","中天","111896","114","982","942","4.25%","793","729","8.78%","-1.87","787","0.41","N","N","N","","",
"生技醫療業","4129","聯合","513126","605","848","820","3.41%","813","726","11.98%","4.74","787","0.41","N","N","N","","",
"生技醫療業","4130","健亞","161839","184","880","879","0.11%","781","797","-2.01%","0.23","787","0.41","N","N","N","","",
"生技醫療業","4131","浩泰","14249","20","712","605","17.69%","625","572","9.27%","-1.23","787","0.41","N","N","N","","",
"生技醫療業","4138","曜亞","105145","111","947","969","-2.27%","767","812","-5.54%","5.66","787","0.41","N","N","N","","",
"生技醫療業","4147","中裕","79812","77","1037","1005","3.18%","865","857","0.93%","-0.75","787","0.41","N","N","N","","",
"生技醫療業","4153","鈺緯","112589","130","866","818","5.87%","750","698","7.45%","1.60","787","0.41","N","N","N","","",
"生技醫療業","4160","訊聯基因","130851","138","948","892","6.28%","821","775","5.94%","2.05","787","0.41","N","N","N","","",
"生技醫療業","4161","聿新科","106557","168","634","561","13.01%","559","483","15.74%","1.84","787","0.41","N","Y","N","本公司薪酬制度已部分反映個人績效與部門目標達成情況，整體薪酬調整主要依據年度績效評核結果及市場薪資水準進行同步連動。","薪資結構優化與調整：定期檢視市場薪資水準，進行內部薪資結構檢討與調整，確保具市場競爭力。",
"生技醫療業","4162","智擎","61599","31","1987","1696","17.16%","1848","1509","22.47%","12.19","787","0.41","N","N","N","","",
"生技醫療業","4163","鐿鈦","492353","709","694","629","10.33%","530","498","6.43%","5.38","787","0.41","N","Y","N","本公司113年度獲利較112年少，直接人員比例超過40%，而113年員工薪資平均數較112年已提高
10.33%，考量生技醫療產業之業態多樣，本公司依中部市場薪資水準、員工資歷及個人表現等因素給
薪，尚屬合理。","本公司已於114年開辦員工持股信託及執行結構式調薪等措施。",
"生技醫療業","4167","松瑞藥","211204","267","791","680","16.32%","701","629","11.45%","0.57","787","0.41","N","N","N","","",
"生技醫療業","4168","醣聯","37027","45","823","771","6.74%","737","695","6.04%","-2.12","787","0.41","N","N","N","","",
"農業科技","4171","瑞基","81631","128","638","599","6.51%","573","549","4.37%","-2.07","645","0.64","N","N","N","","",
"生技醫療業","4173","久裕","158911","203","783","738","6.10%","733","657","11.57%","1.26","787","0.41","N","Y","N","本公司113年度員工人數為203人，較112年度員工人數197人，增加6位新進員工，因新進員工未領滿全年薪資，致使公司平均薪較同業略少。
薪資平均數與同業薪資平均水準僅差距0.5%，無重大差異。","114年進行員工調薪。",
"生技醫療業","4174","浩鼎","145653","126","1156","1109","4.24%","1045","1004","4.08%","-9.89","787","0.41","N","N","N","","",
"生技醫療業","4175","杏一","698412","1145","610","591","3.21%","552","542","1.85%","1.65","787","0.41","N","Y","N","本公司以零售通路為主，第一線門市服務人員逾八成，與研發導向同業職能與薪資結構存在顯著差異。同仁專業養成期長，留任穩定性受多重因素挑戰。惟營運穩健，透過逐年調薪與獎酬機制，將經營成果合理反映於員工薪酬。","公司已透過年度調薪、明確晉升制度、強化教育訓練與優化福利措施，穩定人力並提升薪酬競爭力。未來持續深化人才培育與留任策略，逐步改善人力結構與報酬水準。",
"生技醫療業","4183","福永生技","67710","89","761","708","7.49%","644","571","12.78%","0.73","787","0.41","N","Y","N","1.本公司依薪資辦法、績效評核、營運績效、景氣等考量進行員工調薪及獎金分派，另依公司章程認列員工酬勞。
2.本公司因員工結構不同，與研發屬性生技公司不同。當年度公司「薪資平均、中位數」依舊較前年度增加。","持續強化團隊和產品技術，提升團隊績效，創造營收，利潤分享員工，創造雙贏。",
"生技醫療業","4188","安克","22048","23","959","870","10.23%","866","706","22.66%","-0.88","787","0.41","N","N","N","","",
"生技醫療業","4192","杏國","12089","17","711","651","9.22%","681","599","13.69%","-1.54","787","0.41","N","N","N","","",
"生技醫療業","4198","欣大健康","36819","36","1023","665","53.83%","818","568","44.01%","-1.71","787","0.41","N","N","N","","",
"食品工業","4205","中華食","192841","282","684","678","0.89%","676","659","2.58%","4.45","744","3.95","N","Y","N","一、地域性差異：北部消費水準、薪酬皆較高，參酌南部產業薪資水準制定薪資辦法。
二、產業特性：作業員工作性質簡單、輕體力無技術層次，薪資較低而降低整體平均數。
與高屏地區傳統產業相較，薪資水準尚屬合理。","一、本公司歷年來皆調薪約3%-5%。
二、未來將持續依南部高屏地區平均薪資水準制定。",
"食品工業","4207","環泰","128290","184","697","677","2.95%","690","660","4.55%","1.09","744","3.95","N","N","N","","",
"塑膠工業","4303","信立","18618","34","548","512","7.03%","529","439","20.50%","10.62","510","3.45","N","N","N","","",
"塑膠工業","4304","勝昱","20553","48","428","418","2.39%","428","445","-3.82%","-1.37","510","3.45","Y","N","N","1.工廠直接生產人員占比較高，且位於嘉義縣境， 
  薪資較都會區低，外籍員工占總人數17%。
2.當年任職給薪未滿六個月之員工人數較前一年
  度增加。","公司於年度決算如有盈餘，除繳納稅捐、彌補累積虧損及提列公積金外，視整體營運發展及同仁績效等綜合考量後，發給年終獎金及進行年度調薪。",
"塑膠工業","4305","世坤","70682","96","736","737","-0.14%","603","618","-2.43%","3.97","510","3.45","N","N","Y","主要系因112年度人員異動,未滿6個月移工人數增加至影響113年度整體非擔任主管職務之全時員工[薪資平均數及中位數]較112年略低。","113年度平均薪資調整2.7%~3.6%。",
"紡織纖維","4401","東隆興","299632","430","697","583","19.55%","594","502","18.33%","1.06","665","1.60","N","N","N","","",
"紡織纖維","4402","郡都開發","5812","9","646","774","-16.54%","544","769","-29.26%","-0.09","665","1.60","N","N","Y","本公司113年EPS較112年成長，但全時員工薪資平均數較112年減少，係因本公司預計於113年初更換經營團隊，於112年底資遣多位資深員工，並於當年度認列資遣費，致整體平均薪資減少。","本公司積極開拓新市場，持續創造收益，期待營運狀況能轉虧為盈，若有獲利將遵循公司章程規定替員工調薪或提撥員工酬勞。",
"紡織纖維","4406","新昕纖","54784","110","498","502","-0.80%","464","442","4.98%","-0.73","665","1.60","Y","N","N","主要係因本公司為製造業,大部份員工係從事直接生產之員工,公司經營績效與員工薪酬之間並無直接關係,平均數未達50萬元係因113年有年資及薪酬高的員工退休,補進薪酬低的新進員工所致。","本公司將持續配合法令相關規定調整員工薪資。",
"紡織纖維","4413","飛寶企業","32245","59","547","607","-9.88%","509","564","-9.75%","0.06","665","1.60","N","N","N","","",
"建材營造","4416","三圓","9674","8","1209","1051","15.03%","1007","809","24.47%","0.10","1007","3.22","N","N","N","","",
"紡織纖維","4417","金洲","119429","169","707","721","-1.94%","589","602","-2.16%","4.41","665","1.60","N","N","Y","主要原因係113年度共有5位高資歷員工退休，其中包括2位單位主管、1位現場幹部及2位日夜班輪調之員工。由於上述人員薪資水準較高，其退休對整體平均薪資產生下拉影響，致使薪資平均數較前一年度略為降低。","規劃員工之接班與傳承制度，並優化招募策略以吸引具潛力之新進人員，縮小新舊薪資落差；同時，透過提供多元福利與績效獎金，提升整體報酬制度。",
"觀光餐旅","4419","皇家美食","4966","8","621","435","42.76%","462","409","12.96%","-0.72","636","1.19","N","N","N","","",
"紡織纖維","4420","光明","51098","99","516","622","-17.04%","472","557","-15.26%","6.18","665","1.60","N","Y","N","本公司113年度排除投資性不動產出售利益後之稅前淨(損)益為-51,683仟元，紡織本業經營績效並不理想，本期提撥員工分紅較少，致全時員工薪資平均數低於同業水準。","本公司113年度有進行薪資結構調整，提高員工本薪之佔比，另114年度全體員工調薪幅度達2~3%，相信未來會和同業趨近。",
"其他","4430","耀億","147575","289","511","492","3.86%","437","426","2.58%","-0.58","695","2.24","N","N","N","","",
"紡織纖維","4432","銘旺實","54659","60","911","922","-1.19%","779","777","0.26%","2.64","665","1.60","N","N","Y","本公司113年主要獲利來源有一部份為未實現兌換利益，屬匯率波動之影響，另113年部分年資較久之員工離職及增加較多新進員工所致。","113年獲利較高，有部分為未實現兌換利益，而本公司已於114年2月調整員工薪資。",
"紡織纖維","4433","興采","238989","357","669","661","1.21%","610","588","3.74%","0.72","665","1.60","N","N","N","","",
"電機機械","4502","健信","95840","169","567","598","-5.18%","536","575","-6.78%","0.21","725","2.47","N","N","Y","1.113年度EPS較112年增加，主要係113年度外幣兌換利益增加，而營收及營業淨利較112年度減少。
2.113年度營收較112年衰退，致員工加班費及獎金減少，致員工平均薪資減少。","持續開發新訂單，生產量及銷售量增加，員工之加班費、獎金、薪資亦隨之增加。",
"電機機械","4503","金雨","81169","145","560","497","12.68%","504","458","10.04%","-1.27","725","2.47","N","N","N","","",
"電機機械","4506","崇友","1176074","1230","956","915","4.48%","949","900","5.44%","5.58","725","2.47","N","N","N","","",
"電機機械","4510","高鋒","159109","263","605","610","-0.82%","557","577","-3.47%","1.05","725","2.47","N","N","Y","113年度營收較112年度減少15%，營業損益減少47%，致加班費減少，故員工平均薪資較前一年度減少。113年度EPS增加主要係營業外收入增加，為處分不動產利益及外幣兌換利益所致。","本公司員工薪酬包含薪資、獎金及依公司章程提撥員工酬勞，薪資部分依公司營運績效及基本工資調整進行調薪。",
"電機機械","4513","福裕","99299","167","595","611","-2.62%","564","585","-3.59%","-0.49","725","2.47","N","N","N","","",
"電機機械","4523","永彰","122672","164","748","712","5.06%","677","628","7.80%","-1.53","725","2.47","N","N","N","","",
"電機機械","4527","方方土霖","166094","181","918","800","14.75%","883","762","15.88%","4.20","725","2.47","N","N","N","","",
"電機機械","4528","江興鍛","105489","191","552","576","-4.17%","532","532","0.00%","0.01","725","2.47","N","N","N","","",
"其他","4529","淳紳","10251","13","789","645","22.33%","684","667","2.55%","-1.30","695","2.24","N","N","N","","",
"觀光餐旅","4530","宏易","24239","52","466","480","-2.92%","437","444","-1.58%","-1.28","636","1.19","Y","N","N","主要係本公司餐飲事業經營狀況不佳，衍生缺工嚴重、離職率高，故基層員工薪資福利未能調升，另公司係屬餐飲業，計時人數及員工流動率較其他行業偏高，進而降低平均薪資且未達50萬元。","提升營收、強化經營管理",
"電機機械","4533","協易機","244499","308","794","725","9.52%","743","674","10.24%","1.55","725","2.47","N","N","N","","",
"電機機械","4534","慶騰","74338","135","551","509","8.25%","511","461","10.85%","0.23","725","2.47","N","N","N","","",
"電機機械","4535","至興","175329","337","520","513","1.36%","471","464","1.51%","2.44","725","2.47","N","N","N","","",
"電機機械","4538","大詠城","50438","95","531","518","2.51%","466","462","0.87%","0.19","725","2.47","N","N","N","","",
"其他","4541","晟田","378033","571","662","636","4.09%","620","552","12.32%","1.26","695","2.24","N","N","N","","",
"電子零組件業","4542","科嶠","66702","91","733","702","4.42%","683","650","5.08%","0.08","747","2.21","N","N","N","","",
"電機機械","4543","萬在","134727","268","503","466","7.94%","450","413","8.96%","2.09","725","2.47","N","N","N","","",
"電機機械","4549","桓達","143439","230","624","606","2.97%","553","527","4.93%","4.72","725","2.47","N","Y","N","本公司產品為客製化，少量多樣，故面對不同產業須投入更多人力提供售前服務，113年度EPS高於同業主要為產業特性所致。113年度員工薪資-平均數為624仟元，較112年度606仟元提高3%，較去年同期增加。","達成公司業績目標相對的也提高年度調薪並增加員工福利，例如:114年國內員工旅遊全額補助及眷屬部份補助。",
"電機機械","4550","長佳","53154","66","805","856","-5.96%","672","795","-15.47%","3.16","725","2.47","N","N","N","","",
"其他電子業","4554","橙的","75647","105","720","645","11.63%","613","566","8.30%","1.87","958","4.44","N","N","N","","",
"其他","4556","旭然","72854","115","634","599","5.84%","511","497","2.82%","0.34","695","2.24","N","N","N","","",
"電機機械","4558","寶緯","192317","319","603","570","5.79%","499","463","7.78%","0.48","725","2.47","N","N","N","","",
"電機機械","4561","健椿","142060","218","652","629","3.66%","577","568","1.58%","3.28","725","2.47","N","Y","N","1、本公司外籍勞工人數佔非擔任主管之員工人數約25%，致影響整體員工平均薪資水準較低。
2、本公司員工薪資平均數為652仟元，較112年度629仟元提高3.66%，較去年同期增加。","114年將進行薪資調整，6月進行資料收集，7月進行作業調整，8月生效，預計調整薪資總額3%~5%。",
"電機機械","4563","百德","158681","165","962","848","13.44%","916","804","13.93%","3.87","725","2.47","N","N","N","","",
"電機機械","4568","科際精密","18943","26","729","758","-3.83%","770","631","22.03%","2.81","725","2.47","N","N","Y","113年度平均薪資較前一年度減少主要係員工獲配之員工酬勞較少所致，由於113年及112年實際員工酬勞獲配金額分別來自112年及111年稅前淨利所提撥，又112年獲利較111年減少，致使113年平均薪資較112年減少。","本公司營運已較為穩定，且公司章程訂定當年度如有獲利，將自員工酬勞中提列一定比例為基層員工之酬勞，且對於非經理人全時員工每年均有一定幅度之加薪政策，顯示對非經理人全時員工之薪酬有一定的保障。",
"其他電子業","4577","達航科技","81682","113","723","809","-10.63%","707","723","-2.21%","-1.08","958","4.44","N","N","Y","本公司薪資報酬政策係依營業狀況、績效表現、市場競爭性及考量未來營運風險等指標。依公司章程規定，年度如有獲利，應提撥3%~10%為員工酬勞，但公司尚有累積虧損時，應預先保留彌補數額，再依前項比例提撥員工酬勞。","本公司年度依獲利狀況扣除累積虧損後如有餘額，即依公司章程估例員工及董監事酬勞。公司年度如有獲利，並依公司章程辦理，提撥為基層員工調整薪資或分派酬勞。但公司尚有累積虧損時，應予彌補。",
"電機機械","4580","捷流閥業","276732","270","1025","895","14.53%","887","800","10.88%","8.86","725","2.47","N","N","N","","",
"電機機械","4584","君帆","84719","129","657","607","8.24%","590","534","10.49%","3.60","725","2.47","N","Y","N","1.本公司外籍勞工人數佔非擔任主管之員工人數約18%，致影響整體員工平均薪資水準較低。
2.本公司113年度員工薪資平均數為657仟元，較112年度增加50仟元，提升8.2%。","1.員工薪酬包含本薪、獎金及依公司章程提撥員工酬勞，其中本薪每年依公司營運績效及考量物價波動進行調薪。
2.於114年修改公司章程，明訂提撥員工酬勞數額中，應提撥不低於一定比率為基層員工分派酬勞。",
"居家生活","4609","唐鋒","7423","10","742","758","-2.11%","812","753","7.84%","-0.47","694","8.76","N","N","Y","公司113年EPS(0.47)雖較112年EPS(0.78)為好，但仍是處於虧損狀況，因此113年薪資與112年持平未調整，薪資平均數下降是因為113年增加新進員工1名，任職期間未滿一年，計算員工人數加權平均仍以1人計所致。","公司未來仍持續開源節流，樽節支出，開發新機種以拓展業務營收，改善獲利增強員福薪資福利。",
"居家生活","4702","中美實","11542","16","721","755","-4.50%","710","760","-6.58%","0.58","694","8.76","N","N","N","","",
"化學工業","4706","大恭","141397","185","764","643","18.82%","734","621","18.20%","0.99","759","1.61","N","N","N","","",
"化學工業","4707","磐亞","68293","98","697","680","2.50%","636","614","3.58%","0.95","759","1.61","N","N","N","","",
"化學工業","4711","永純","52273","73","716","695","3.02%","681","664","2.56%","0.10","759","1.61","N","N","N","","",
"化學工業","4714","永捷","30195","51","592","567","4.41%","533","518","2.90%","0.38","759","1.61","N","N","N","","",
"化學工業","4716","大立","47506","76","625","565","10.62%","583","520","12.12%","0.94","759","1.61","N","N","N","","",
"化學工業","4721","美琪瑪","37462","51","735","816","-9.93%","631","694","-9.08%","3.36","759","1.61","N","Y","Y","獲利與員工分紅有關","1.2023年度因原料價格驟降而淨利降低，但2024年淨利已大幅改善故員工2025年分紅會增加
2.修改公司章程確保非經理人有一定薪水調薪，且2025年已調薪3%",
"生技醫療業","4726","永昕","276345","281","983","916","7.31%","876","821","6.70%","-2.27","787","0.41","N","N","N","","",
"生技醫療業","4728","雙美","95853","116","826","842","-1.90%","707","727","-2.75%","12.47","787","0.41","N","N","Y","本公司113年較112年增加的員工人數，絕大部分屬於基層生產人員，且當年度新進人員因任職時間較短，致薪資平均數較前一年度減少。","本公司薪資平均數於113年仍高於同業水準，並且已於114年第二季針對非經理人全時員工實施薪酬優化措施。",
"光電業","4729","熒茂","166018","299","555","502","10.56%","464","422","9.95%","0.40","856","2.40","N","N","N","","",
"生技醫療業","4735","豪展","52292","69","758","752","0.80%","599","589","1.70%","1.62","787","0.41","N","Y","N","因本年度新增訂單，產線作業人員需求增加，此部分增加人員薪資為略高於基本工資，也因當年度部分高階主管離職尚未有新繼人員，故造成整體員工薪資平均數下降，一班員工薪資亦符合市場行情。","此情況差異乃因訂單需求以及高階主管異動繼任問題所致,一般員工及產線人員薪資結構亦符合市場行情,未來仍會詳細評估並注意降低此差異性。",
"化學工業","4741","泓瀚","95175","155","614","583","5.32%","522","489","6.75%","1.99","759","1.61","N","Y","N","公司產線多為勞力密集的生產型態且雇有外籍移工。其中直接人工佔全體員工約42%，其外籍移工佔直接人工約47%，故影響平均薪資的金額。","與同業多為原料供應商不同，公司係客製化生產，產品多元化，自動化程度較低，且雇用外籍同仁，以致薪資平均低於同業平均。但113年薪資平均數仍較前一年增加約5.2%，並未低於同業之4.9%，公司仍會持續年度調薪。",
"生技醫療業","4743","合一","153835","150","1026","969","5.88%","747","732","2.05%","-2.44","787","0.41","N","N","N","","",
"生技醫療業","4744","皇將","81754","161","508","483","5.18%","473","449","5.35%","0.75","787","0.41","N","Y","N","雖本公司的薪資略低於生技醫療產業平均水平，主要
是所需員工學經歷亦有所差異，也因基於公司成本控
制和市場狀況的考量。","1.對表現優異的員工提供專項的薪酬調整和福利激勵。
2.將經營績效與員工薪酬進行更為緊密的掛鉤，讓薪酬體系具
有的合理性與市場競爭力。
3.定期了解員工需求，根據反饋調整薪酬政策，保持公平和透
明。",
"生技醫療業","4747","強生製藥","117834","157","751","700","7.29%","685","634","8.04%","1.87","787","0.41","N","Y","N","本公司為學名藥製造廠，獲利穩定，且因員工多為工廠生產作業人員，故與同業之平均薪資略有差異。","本公司將持續提升經營績效，並依相關辦法、績效考核、營運狀況等各方面綜合考量，視情況適時調整員工薪資以增進員工福利。",
"半導體業","4749","新應材","467663","380","1231","0","0.00%","1027","0","0.00%","8.50","1307","5.21","N","Y","N","本公司變動薪資與EPS高度相關，因公司處於成長階段，113年度新進人員較多，變動薪資年資基數較低，導致變動薪資金額較少，進而影響非主管年薪平均數及中位數。","本公司今年度將依照113年度大幅成長之營運績效提高變動獎金金額，並且持續參考產業標竿企業之非主管薪資年薪平均數及中位數，優化薪資結構。將營運成果回饋給共同努力打拼的員工，為公司未來發展開創更高的價值。",
"化學工業","4754","國碳科","63588","87","731","709","3.10%","659","541","21.81%","2.63","759","1.61","N","Y","N","113年度增補12位員工為年資較短的基層員工，因而影響年度薪資平均數計算。","員工酬勞提撥不低於20%分派予基層員工。",
