產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"食品工業","1215","卜蜂","1800196","2443","737","729","1.10%","588","507","15.98%","10.39","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","Y","N","台灣缺工問題長期嚴重，加上公司為3K行業，本國人大多不願從事，新增人力多為外籍定期契約勞工。目前外勞佔比達40%，故整體薪資平均數低於同業水準。但員工薪資平均上漲幅度大於同業公司員工薪資平均幅度。","持續招聘本國籍員工，降低外勞使用人數。",
"食品工業","1216","統一","6822714","5561","1227","1220","0.57%","1040","1041","-0.10%","3.45","          1,299","不適用","-","          1,111","不適用","-","          1,117","不適用","-","            996","不適用","-","875","2.70","N","N","N","","",
"食品工業","1217","愛之味","391197","558","701","699","0.29%","611","603","1.33%","0.42","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1218","泰山","312798","447","700","641","9.20%","635","585","8.55%","1.59","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1219","福壽","413650","609","679","665","2.11%","619","616","0.49%","0.45","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1220","台榮","136142","205","664","682","-2.64%","634","655","-3.21%","0.08","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1225","福懋油","148867","223","668","682","-2.05%","625","633","-1.26%","1.62","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","Y","員工酬勞：以當年度獲利提撥2%~4%為員工酬勞，114年提撥2%員工酬勞。
年終獎金：依公司預算達成率提撥年終獎金，並依個人績效發放。
年度調薪：依照市場薪資動態及整體經濟，再依個人績效評等，進行年度調薪作業。","1.114年調高員工薪資，整體固定薪資較113年提升。
2.因114年度預算目標較高，預算達成率較低，因此依據當年度預算達成率提撥年終獎金較113年少。
3.將依產業競爭及員工激勵之需要，將預算目標做合適調整。",
"食品工業","1227","佳格","945962","1121","844","897","-5.91%","749","804","-6.84%","1.33","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1229","聯華","1053691","1247","845","802","5.36%","778","733","6.14%","2.57","            874","不適用","-","            779","不適用","-","            809","不適用","-","            721","不適用","-","875","2.70","N","N","N","","",
"食品工業","1231","聯華食","1706365","2398","712","721","-1.25%","633","630","0.48%","3.81","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","Y","N","公司基層人力佔約七成，其中外籍移工、建教生及未全年在職人數佔36%，員工人數較去年成長4%，年資未足一年之員工佔11%，影響整體薪資平均數。本公司秉持共創價值、利潤分享之理念，將持續提升員工薪資福利。","1.進行市場薪資調查產業薪資水平，持續提升基層員工薪資競爭力。
2.推動培訓、輪調、升遷管道，讓員工有多元專業職涯發展提升薪資水平。
3.參考通膨指數、人才市場薪資福利，持續提升各類補助與津貼制度。",
"食品工業","1232","大統益","233614","139","1681","1630","3.13%","1455","1422","2.32%","8.25","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1233","天仁","499825","774","646","642","0.62%","564","553","1.99%","0.75","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"食品工業","1234","黑松","468393","565","829","852","-2.70%","733","759","-3.43%","2.00","            857","不適用","-","            768","不適用","-","            761","不適用","-","            674","不適用","-","875","2.70","N","N","N","","",
"食品工業","1235","興泰","4480","13","345","356","-3.09%","354","386","-8.29%","-0.03","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","Y","N","N","1.本公司已成立50多年，老員工已退休，目前員工為年資較淺之新員工。
2.公司獲利原因為業外投資收益，本業實則處於虧損狀態，因考量老員工再投入職場不易，故也未實施資遣，尚於苦&#25745;中。","公司依各別員工表現予以調高薪資,並不定期加發獎金以提振員工士氣。",
"食品工業","1236","宏亞","343164","657","522","532","-1.88%","454","473","-4.02%","-0.43","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","875","2.70","N","N","N","","",
"塑膠工業","1301","台塑","8447743","6033","1400","1382","1.30%","1273","1262","0.87%","-1.58","          1,434","不適用","-","          1,106","不適用","-","          1,311","不適用","-","          1,025","不適用","-","1235","-0.80","N","N","N","","",
"塑膠工業","1303","南亞","13064852","10397","1257","1229","2.28%","1159","1139","1.76%","0.57","          1,313","不適用","-","            960","不適用","-","          1,246","不適用","-","            943","不適用","-","1235","-0.80","N","N","N","","",
"塑膠工業","1304","台聚","438851","406","1081","1038","4.14%","1001","958","4.49%","-2.60","          1,080","不適用","-","          1,085","不適用","-","          1,000","不適用","-","          1,052","不適用","-","1235","-0.80","N","N","N","本公司綜合評估年度經營績效、國內同業薪酬水準及員工個人表現等因素後，據以核定年度獎金發放機制與薪資調整方案","密切追蹤國內同業給薪標準，並同步完善績效考核制度，據以優化員工的整體薪酬結構",
"塑膠工業","1305","華夏","529236","545","971","961","1.04%","918","907","1.21%","-1.58","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","N","N","本公司員工酬勞制度在公司章程中已訂定：
「公司年度如有獲利，員工酬勞不低於當年度獲利百分之一。但尚有累積虧損時，應預先保留彌補數額。
依前項分派之員工酬勞總額，基層員工占比不低於該數額之百分之四十。」","增加「依前項分派之員工酬勞總額，基層員工占比不低於該數額之百分之四十」。",
"塑膠工業","1307","三芳","424649","453","937","1014","-7.59%","833","971","-14.21%","2.85","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","Y","N","本公司主要生產人工皮革,鞋材佔比約90%,因114年度匯率影響損益,造成EPS較去年同期減少約23%,本公司獎金與營運成果具有連動影響,故非擔任主管職務之員工薪資平均數較去年同期減少約8%。","本公司會持續同業薪資調查、市場薪酬分析及關鍵人才薪資檢視，持續提出制度性改善，確保薪酬具市場競爭力，積極落實員工可與企業共享成果。",
"塑膠工業","1308","亞聚","254061","225","1129","1094","3.20%","1067","1035","3.09%","-1.76","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","N","N","本公司綜合評估年度經營績效、國內同業薪酬水準及員工個人表現等因素後，據以核定年度獎金發放機制與薪資調整方案。","密切追蹤國內同業給薪標準，並同步完善績效考核制度，據以優化員工的整體薪酬結構。",
"塑膠工業","1309","台達化","346467","338","1025","1031","-0.58%","998","987","1.11%","-1.07","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1235","-0.80","N","N","N","","",
