產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"農業科技","1240","茂生農經","61741","88","702","707","570","600","3.57","675","3.94","N","N","N","",
"觀光餐旅","1259","安心","541805","966","561","558","516","514","3.07","498","-0.73","N","N","N","",
"食品工業","1264","德麥","204417","266","768","734","694","668","16.19","672","3.08","N","N","N","",
"觀光餐旅","1268","漢來美食","666747","1272","524","518","447","422","2.01","498","-0.73","N","N","N","",
"電子零組件業","1336","台翰","15674","12","1306","814","828","778","1.00","729","2.59","N","N","N","",
"生技醫療業","1565","精華","1879749","2799","672","585","634","549","18.80","714","1.38","N","Y","N","本公司為傳統製造業，直接人員佔有公司人員七成(其中外勞佔全部員工約兩成)，雖然薪資/獎金隨著獲利增加調整，惟可能調整幅度低於同業，故造成非擔任主管職務之全時員工薪資平均數低於同業水準。",
"電腦及週邊設備業","1569","濱川","20983","32","656","653","612","605","2.62","828","5.18","N","N","N","",
"電機機械","1570","力肯","67551","122","554","519","428","406","2.61","664","2.08","N","Y","N","110年子公司不動產被當地政府徵收，相關處分利益佔本公司稅前淨利38%。上述處分利益與台灣員工薪酬調整無關。本公司非主管職務之全時員工「薪資平均數」由109年的519仟元，增至110年的554仟元，適度反應營運績效。",
"電機機械","1580","新麥","76367","75","1018","929","939","908","10.16","664","2.08","N","N","N","",
"其他","1584","精剛","53019","85","624","521","580","459","0.46","669","1.90","N","N","N","",
"電機機械","1586","和勤","87268","136","642","581","571","518","1.29","664","2.08","N","N","N","",
