產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"運動休閒","1593","祺驊","88580","134","661","608","517","490","4.90","712","5.56","N","Y","N","110年員工薪資平均數及中位數均較109年增加；已將經營績效反映於員工薪酬,包括:
(1)今年發放之年終獎金，較前一年增加137萬。(2)今年員工進行調薪，平均調薪幅度約5.8%。(3)109年EPS超過預算，公司加發一個月薪資",
"電子零組件業","1595","川寶","65416","72","909","647","759","548","3.93","729","2.59","N","N","N","",
"電機機械","1599","宏佳騰","198017","394","503","498","481","472","4.72","664","2.08","N","Y","N","公司位置僻靜物價相較都會區、工業及科技園區低，8成員工為基礎作業員技術含量不高，因此平均數相較於同業低，員工除薪資、獎金，另依據章程提撥員工酬勞，109年度經營績效較108提升，相應員工酬勞亦會增加。",
"化學工業","1742","台蠟","14968","24","624","467","513","439","5.16","740","2.05","N","Y","N","110年度持續受疫情衝擊，加上原物料價格上漲，影響公司營運績效與成果。
本年度之盈餘大多來自於業外收入，處分不動產、活化資產以充實營運資金，對員工薪資的調升尚未有多餘的空間。",
"生技醫療業","1777","生泰","113486","164","692","831","615","756","3.38","714","1.38","N","Y","N","員工薪酬係衡量公司現行規模，依公司所制定之『薪資管&#63972;辦法』及『營業目標及稅前淨利達成獎勵辦法』，作為評核之依循，因火災事故及疫情致整體營運績效下降，故獎金發放減少尚稱合理。",
"生技醫療業","1781","合世","43687","55","794","755","737","661","-1.31","714","1.38","N","N","N","",
"生技醫療業","1784","訊聯","123495","164","753","748","668","633","0.56","714","1.38","N","N","N","",
"其他電子業","1785","光洋科","948244","1066","890","827","764","707","2.15","856","3.74","N","N","N","",
"生技醫療業","1788","杏昌","252073","245","1029","938","906","824","8.99","714","1.38","N","N","N","",
"食品工業","1796","金穎生技","127904","211","606","541","542","508","1.45","672","3.08","N","N","N","",
"生技醫療業","1799","易威","4234","6","706","689","665","686","-0.99","714","1.38","N","N","N","",
"生技醫療業","1813","寶利徠","69177","104","665","604","527","515","-0.28","714","1.38","N","N","N","",
"電子零組件業","1815","富喬","627135","906","692","553","602","485","1.43","729","2.59","N","N","N","",
"鋼鐵工業","2035","唐榮公司","991385","625","1586","1112","1791","1237","4.53","857","3.17","N","N","N","",
"電器電纜","2061","風青","1811","3","604","758","720","527","2.37","604","2.37","N","Y","Y","本公司員工薪酬包括本薪、獎金及紅利，本薪係依據各職務之內容與性質訂定，除符合法律規定最低標準亦反應公司整體營運成本效益，再根據過去一年的績效表現給予適當調薪，獎金及紅利則隨著公司獲利狀況而給予。",
"鋼鐵工業","2063","世鎧","165864","279","594","494","554","449","3.31","857","3.17","N","Y","N","世鎧公司每年維持調薪幅度3%-6%，隨110年公司獲利增加，年終獎金發放金額調升80%以上，員工酬勞金額亦較前一年度增加48%以上，故本公司隨著經營績效提升亦調增員工薪酬，調增的幅度適當合理。",
"鋼鐵工業","2064","晉椿","119817","188","637","563","571","471","1.81","857","3.17","N","N","N","",
"鋼鐵工業","2065","世豐","207361","285","728","611","608","536","5.42","857","3.17","N","Y","N","本年度公司營收成長26.89%，合併淨利增加84.5%，致員工薪資平均數成長19%，尚屬合理。",
"電機機械","2066","世德","82430","174","474","438","427","459","4.00","664","2.08","Y","Y","N","110年度疫情趨緩，營收及出貨較109年度增加，但本公司後段製程屬勞力密集，需大量基層員工(含外籍移工)，導致拉低平均薪資。若排除此因素，尚符合一般薪資水準。",
"電機機械","2067","嘉鋼","87525","167","524","445","491","395","-0.24","664","2.08","N","N","N","",
"電機機械","2070","精湛","65894","103","640","501","590","471","2.66","664","2.08","N","Y","N","本公司員工薪酬包括本薪、獎金及紅利，本薪除每年固定酌與進行調增外，另其係依據各項職務之內容與性質所訂定，除符合法律規定的最低標準亦反應公司整體營運成本效益，獎金及紅利則隨著公司獲利狀況而給予。",
"其他","2221","大甲","128874","201","641","509","534","431","4.27","669","1.90","N","Y","N","因公司依據事業部利潤來評估當年發放之獎酬,而110年因僅一事業單位達標,故於獎酬發放時2個事業部有所差異造成。",
"電機機械","2230","泰茂","45077","90","501","419","485","391","-0.08","664","2.08","N","N","N","",
"電機機械","2235","謚源","95990","195","492","447","453","396","1.42","664","2.08","Y","N","N","本公司產線人數約173 人，約佔87%，且本公司非高科技產業，產線技術性低，故年薪低於50萬；另23%的員工，其中年薪較高超過50萬的研發人員僅9人，其餘多為年薪低於50萬的辦公行政人員，故薪資平均數未達50萬。",
"建材營造","2596","綠意","6350","9","706","710","733","715","3.05","902","2.00","N","Y","Y","110年度因職員請假扣薪增加而影響薪資平均數，本公司已於111年度1月起調整非擔任主管職務之薪資於5%以上，將於次年度申報揭露。",
"數位雲端","2640","大車隊","231135","371","623","654","500","507","4.11","720","4.41","N","Y","N","本公司屬傳統產業，且行業特性較為特殊，薪資水平較難與公司經營績效有明確的關聯性。",
"航運業","2641","正德","32450","34","954","688","818","653","2.24","961","7.79","N","N","N","",
"航運業","2643","捷迅","47509","74","642","593","544","505","9.72","961","7.79","N","Y","N","本公司雖屬航運業，但以物流相關服務為主軸，因經營模式、市場規模及行業屬性的不同，薪酬行情本不應與航空及海運比較。本公司平均薪酬水準屬同業市場行情，每年定期調薪及獎酬以凝聚員工之向心力。",
"建材營造","2718","晶悅","13020","17","766","467","713","420","-0.55","902","2.00","N","N","N","",
"觀光餐旅","2719","燦星旅","24008","50","480","440","424","385","-1.29","498","-0.73","Y","N","N","目前公司內部員工組成多為基層作業人員，高階主管多數已離職。
而基層作業人員之獎金來源為業績，因疫情影響甚鉅，多數無業績獎金，故薪資平均數未達50萬元。",
"觀光餐旅","2729","瓦城","708870","1270","558","547","507","495","7.04","498","-0.73","N","N","N","",
"觀光餐旅","2732","六角","127912","255","502","542","435","450","3.08","498","-0.73","N","Y","N","本公司營收主要係直營門市、加盟業務及國內外銷貨，110年度直營門市整體經營受疫情影響，直接人工費用微幅減少，但尚屬合理。",
"觀光餐旅","2734","易飛網","37091","111","334","315","296","291","-2.29","498","-0.73","Y","N","N","110年因新冠疫情影響營業收入，實施減工減時方案，且薪資數字係已扣除交通部員工薪資補助款後之金額。",
"觀光餐旅","2736","富野","79283","213","372","376","335","325","-0.69","498","-0.73","Y","Y","N","主要係因飯店業人力結構以基層員工為主體，加以110年度疫情影響下公司為維持營運而實行減薪休假，使總體員工平均薪資低於同業，卻因員工共體時艱尚能獲利高於同業。",
"觀光餐旅","2740","天蔥","16147","43","376","409","356","336","-2.65","498","-0.73","Y","N","Y","本公司為餐飲業員工整體較年輕、年資較淺等薪資結構因素，故平均薪資低於50萬元。
另因110年度疫情較前一年度更為嚴重、5~8月間又禁止於各餐廳場所內用，部分員工以無薪假因應
，導致薪資平均數較前一年度衰退。",
"觀光餐旅","2743","山富","62429","182","343","393","318","355","-1.64","498","-0.73","Y","N","N","因疫情使旅遊業重創，感謝政府支持給予補助。公司因參加安心就業計劃有減班減薪，減薪的部分有領取政府的補助。補助款是直接匯入同仁的帳戶,故會有產生此現象。",
"觀光餐旅","2745","五福","81987","236","347","405","336","406","-4.41","498","-0.73","Y","N","N","本公司基層勞力以業務人員為主，每月薪資約50%來自業績獎金，受疫情影響營運以國內旅遊為主，唯其利潤較低，連帶影響業績獎金。此外，公司亦配合實施勞動部「安心就業計畫」減班休息。依此，影響整體薪資。",
"觀光餐旅","2752","豆府","255901","513","499","504","455","454","6.68","498","-0.73","Y","Y","N","因疫情影響營收下降，門店績效獎金及年終獎金相對也減少。",
"觀光餐旅","2754","亞洲藏壽司","246397","450","548","568","414","447","0.49","498","-0.73","N","N","N","",
"觀光餐旅","2755","揚秦","140285","261","537","558","466","464","3.65","498","-0.73","N","N","N","",
"居家生活","2916","滿心","269410","549","491","468","431","419","2.52","618","5.32","Y","N","N","本公司係零售服務業，銷售人員占80%且流動率高，其給薪方式為基本薪資加業績獎金，獎金的多寡依目標達成計算，受到景氣好壞及服飾類商品消費意願的影響。依本公司營運狀況，平均薪資491仟元與現況相符，尚屬合理。",
"文化創意業","2926","誠品生活","546590","794","688","631","538","502","-4.82","1063","5.55","N","N","N","",
"居家生活","2937","集雅社","207537","298","696","699","592","585","3.20","618","5.32","N","N","Y","本公司為拓展營運，擴大增聘營業與行政新進員工，以致平均薪資較前一年度被微幅拉低。",
"居家生活","2947","振宇五金","233758","519","450","0","414","0","6.26","618","5.32","Y","Y","N","本公司屬於零售業形態，本公司基層人員(門市與倉儲)人數占比較高，招募對象多元開放，主要重視人員的學習態度與工作配合度；因應110年度展店數，晉用較多新進人員與社會新鮮人進行培訓，影響整體平均薪資。",
"文化創意業","3064","泰偉","81733","104","786","856","654","654","-0.75","1063","5.55","N","N","Y","非經理人之全時員工薪資平均數較前一年度減少係因薪資總額含有資遣費，109年度因公司人力精簡資遣部分薪資高及年資較深之員工所支付資遣費較110年平均為高為主因",
"光電業","3066","李洲","19586","34","576","538","562","452","2.08","820","1.93","N","Y","N","本公司EPS高於同業平均數，主要來自業外收益大幅增加，個體的營業淨利仍屬於虧損狀態，本公司基於業務考量，薪資與營業淨利同步、而不與EPS同步，造成本公司平均薪資未達50萬元、且平均薪資數低於同業水準。",
"其他電子業","3067","全域","5417","9","602","621","572","570","4.71","856","3.74","N","Y","Y","本公司參考同業核予員工基本薪酬，並視營運績效、員工貢獻及績效評核另核發獎金。公司本年度稅後純益雖因業外利益挹注而獲利，惟仍處營業虧損狀態，但公司仍依員工貢獻考核給予員工年度獎金，員工薪酬之訂定尚屬合理",
"電腦及週邊設備業","3071","協禧","108147","136","795","769","698","652","1.86","828","5.18","N","N","N","",
"綠能環保","3073","天方能源","4691","8","586","644","583","485","-3.16","804","2.92","N","N","N","",
"電子零組件業","3078","僑威","126134","119","1060","1065","855","848","4.30","729","2.59","N","N","N","",
"通信網路業","3081","聯亞","284549","314","906","962","821","765","3.71","832","1.84","N","N","N","",
"文化創意業","3083","網龍","165483","219","756","764","619","642","-0.46","1063","5.55","N","N","N","",
"數位雲端","3085","新零售","4446","8","556","630","454","589","0.37","720","4.41","N","N","Y","於110年8月18日業經股東臨時會通過處分子公司-東京著衣國際(股)公司之76.71%股權，處分利益為58,030仟元，EPS較前一年度提高；此為會計帳務處理，但對公司實務上未增加營運項目之金流。",
"文化創意業","3086","華義","34901","62","563","573","521","525","4.80","1063","5.55","N","N","Y","公司近年來積極進行組織業務調整與優化,110年度終有獲利，但因公司部分薪資較高的同仁離職,新進同仁薪資較低,因此薪資平均數與中位數皆略有些微下修。公司將持續優化同仁薪酬水準,感謝同仁努力貢獻與公司共同成長。",
"電腦及週邊設備業","3088","艾訊","539688","545","990","874","866","791","4.57","828","5.18","N","N","N","",
"電子零組件業","3089","億杰","8432","13","649","599","642","531","0.69","729","2.59","N","N","N","",
"其他電子業","3093","港建*","119489","126","948","862","900","821","7.41","856","3.74","N","N","N","",
"通信網路業","3095","及成","87398","120","728","664","654","545","-0.28","832","1.84","N","N","N","",
"半導體業","3105","穩懋","3548840","3146","1128","1116","926","924","12.90","1296","7.57","N","Y","N","　　半導體產業上中下游員工結構差異大；穩懋為專業晶圓代工公司，生產作業的直接人力佔公司近一半，而影響全體平均。公司每年依營運狀況並參考業界水準進行薪資調整，若僅計算間接人力，薪資平均數未低於業界平均。",
"電子零組件業","3114","好德","64257","64","1004","1053","848","847","2.42","729","2.59","N","N","Y","本公司110年度因非擔任主管職之新進員工，平均人數7人，年薪平均數546千元，低於員工薪資平均值1,004千元，且110年度可分發之員工分紅4,003千元，較109年度減少1,427千元，致年薪平均數較前年度下降49千元。",
"電子零組件業","3115","富榮綱","3010","5","602","633","622","549","-0.33","729","2.59","N","N","Y","本公司電子零組件業務受全球疫情影響，110年度營運仍採穩健保守策略，嚴格控管費用及支出；致EPS較去年增加0.68元，約67.33%，年度非經理人之全時員工平均薪資較去年度減少31仟元、約4.90%。",
"生技醫療業","3118","進階","97248","112","868","843","772","729","2.10","714","1.38","N","N","N","",
"半導體業","3122","笙泉","67984","54","1259","1027","1161","984","3.38","1296","7.57","N","N","N","",
"光電業","3128","昇銳","162240","251","646","605","555","511","0.80","820","1.93","N","N","N","",
"其他電子業","3131","弘塑","269527","161","1674","1319","1607","1309","23.47","856","3.74","N","N","N","",
"半導體業","3141","晶宏","168930","119","1420","1128","1351","1081","9.80","1296","7.57","N","N","N","",
"資訊服務業","3147","大綜","219359","258","850","710","603","546","4.94","889","3.13","N","Y","N","大綜產業類別歸屬資訊服務業，以經營類別粗略再分成軟體資訊服務及硬體資訊服務。營業毛利及軟體工程師和硬體工程師薪資水平是明顯差異，統計是依同業平均數相較，故產生如此之落差。",
"通信網路業","3152","璟德","311572","391","797","861","537","593","14.88","832","1.84","N","Y","Y","本公司產品特性為少量多樣，故需要投入一定比例之工廠產線人力。因110年直接人工佔比，較前一年度直接人工佔比為高，致整體薪資平均數較前一年度略為降低。",
"電機機械","3162","精確","11915","22","542","576","496","449","0.82","664","2.08","N","N","Y","主要係因人員異動(新進/離職)情形，全年度在職月份比例未達1年較高，且部分期間有職位空缺，導致薪資較去年同期減少。",
"通信網路業","3163","波若威","128955","147","877","791","748","680","1.09","832","1.84","N","N","N","",
"半導體業","3169","亞信","126180","58","2176","1406","1627","1120","6.34","1296","7.57","N","N","N","",
"居家生活","3171","新洲","162392","186","873","855","459","458","1.64","618","5.32","N","N","N","",
"生技醫療業","3176","基亞","40307","40","1008","910","794","789","-0.38","714","1.38","N","N","N","",
"半導體業","3178","公準","390671","699","559","532","484","465","2.00","1296","7.57","N","N","N","",
"建材營造","3188","鑫龍騰","15060","14","1076","895","870","821","1.78","902","2.00","N","N","N","",
"電子零組件業","3191","和進","1697","3","566","490","567","420","-0.59","729","2.59","N","N","N","",
"電子零組件業","3202","樺晟","34573","53","652","622","569","562","0.31","729","2.59","N","N","N","",
"生技醫療業","3205","佰研","37698","65","580","592","484","520","-2.66","714","1.38","N","N","N","",
"電子零組件業","3206","志豐","52698","55","958","926","927","851","2.39","729","2.59","N","N","N","",
"電子零組件業","3207","耀勝","9974","14","712","576","571","550","0.74","729","2.59","N","N","N","",
"電腦及週邊設備業","3211","順達","256325","205","1250","1410","1139","1307","22.42","828","5.18","N","N","Y","1.公司110年度EPS22.42元，較109年度大幅增加係因增加出售廠&#36775;大樓利益26.71億元。
2.110年產線直接人力增加及間接人力亦增加，故非擔任主管職務之全時員工之薪資平均數較109年減少。",
"電腦及週邊設備業","3213","茂訊","215239","283","761","710","667","610","10.87","828","5.18","N","Y","N","(一)110年度EPS較前一年度成長，主要是因為未實現利益，導致EPS增加，相對員工酬勞金額比去年同期少。
(二)本公司第一線員工人數占比高，包含基層產線員工及門市業務人員，其流動性，亦會連帶影響整體平均薪資數。",
"電子零組件業","3217","優群","118432","101","1173","1076","939","959","7.11","729","2.59","N","N","N","",
"生技醫療業","3218","大學光","226977","243","934","885","763","716","7.82","714","1.38","N","N","N","",
"其他電子業","3219","倚強科","96457","43","2243","1223","1369","1129","6.33","856","3.74","N","N","N","主係本公司因業務形態改變且新增海外轉投資公司，故EPS較前一年度成長。且因業務形態改變，致使人力需求大幅增加各部門各階層人員皆有增加，因此公司薪資級距拉大，故導致非經理人之全時員工薪資平均數較前一年減少",
"通信網路業","3221","台嘉碩","270375","451","600","520","523","471","5.28","832","1.84","N","Y","N","1.110年獲利來源主要來自110年第四季處分子公司，非常態性營收，故不影響員工薪酬。
2.依公司相關規範，當年度如有獲利則於次年度員工酬勞案通過後方得發放。",
"電子通路業","3224","三顧","60715","79","769","690","635","612","-0.40","774","1.27","N","N","N","",
"電機機械","3226","至寶電","95411","185","516","481","447","431","3.58","664","2.08","N","Y","N","原因簡述說明如下:
1.員工結構組成，作業職之基層員工占約70%，致近年雖因應勞動法基本薪資調整及營運績效年度調薪，仍較低。
2.產線未有輪班制度，故未有相關之輪班津貼及夜間加給獎金，薪資較一般同業為低。",
"半導體業","3227","原相","1381778","474","2915","2799","2568","2435","11.32","1296","7.57","N","N","N","",
"半導體業","3228","金麗科","93680","58","1615","1412","1312","1193","2.92","1296","7.57","N","N","N","",
"光電業","3230","錦明","20948","34","616","628","565","549","-0.51","820","1.93","N","N","N","",
"電子通路業","3232","昱捷","28674","36","797","737","645","633","0.84","774","1.27","N","N","N","",
"通信網路業","3234","光環","249452","334","747","716","644","630","-1.74","832","1.84","N","N","N","",
"電子零組件業","3236","千如","119867","175","685","639","571","526","1.02","729","2.59","N","N","N","",
"觀光餐旅","3252","海灣","3121","8","390","401","396","376","0.71","498","-0.73","Y","Y","Y","因公司目前處於轉型成長期間，薪資結構尚未調整。",
"半導體業","3259","鑫創","124916","120","1041","1122","964","967","0.02","1296","7.57","N","N","Y","本公司因連續十年營運結果為虧損狀態，故於110年實施撙節計劃，針對處級以上主管(含經理人)進行減薪降幅3.98%，一般員工調薪增幅2.02%。目前因經營狀況改善，已在111/1月恢復處級以上主管(含經理人)之薪資。",
"半導體業","3260","威剛","855459","606","1412","1361","1138","1082","9.14","1296","7.57","N","N","N","",
"半導體業","3264","欣銓","1485137","1423","1044","935","836","767","5.46","1296","7.57","N","N","N","",
"半導體業","3265","台星科","260589","307","849","773","712","660","2.89","1296","7.57","N","N","N","",
"半導體業","3268","海德威","23400","32","731","508","625","459","0.95","1296","7.57","N","N","N","",
"電腦及週邊設備業","3272","東碩","163412","263","621","804","549","734","0.58","828","5.18","N","N","N","",
"電子零組件業","3276","宇環","4168","3","1389","1108","1409","1124","1.18","729","2.59","N","N","N","",
"其他","3284","太普高","52390","101","519","496","471","451","-0.86","669","1.90","N","N","N","",
"其他電子業","3285","微端","31022","51","608","660","538","592","-0.02","856","3.74","N","N","N","",
"電腦及週邊設備業","3287","廣寰科","6891","10","689","662","543","590","1.14","828","5.18","N","N","N","",
"電子零組件業","3288","點晶","12855","15","857","792","451","545","-1.48","729","2.59","N","N","N","",
"其他電子業","3289","宜特","699984","777","901","841","814","770","2.02","856","3.74","N","N","N","",
"電子零組件業","3290","東浦","34972","52","673","671","519","550","0.77","729","2.59","N","N","N","",
"文化創意業","3293","鈊象","2359473","988","2388","1747","1924","1435","67.21","1063","5.55","N","N","N","",
"電子零組件業","3294","英濟","240650","273","882","941","702","772","0.18","729","2.59","N","N","N","",
"光電業","3297","杭特","78965","136","581","551","491","487","-0.42","820","1.93","N","N","N","",
"其他電子業","3303","岱稜","321891","439","733","694","659","599","1.61","856","3.74","N","N","N","",
"通信網路業","3306","鼎天","109672","105","1044","941","890","828","1.05","832","1.84","N","N","N","",
"電子零組件業","3310","佳穎","54523","88","620","542","531","458","1.33","729","2.59","N","N","N","",
"其他","3313","斐成","2948","6","491","610","478","495","0.42","669","1.90","Y","N","Y","非經理人之全時員工薪資平均數未達50萬，因實際平均人數為5.5若以5.5計算平均數為53.6萬
EPS成長惟非經理人之全時員工薪資平均數較前一年度減少，因EPS增加乃業外收入增加，與本業無關故未反映調整員工薪資",
"半導體業","3317","尼克森","185304","126","1471","1117","1084","910","5.78","1296","7.57","N","N","N","",
"電子零組件業","3322","建舜電","55700","57","977","892","860","775","1.85","729","2.59","N","N","N","",
"電腦及週邊設備業","3323","加百裕","233229","319","731","698","515","545","3.16","828","5.18","N","N","N","",
"其他電子業","3324","雙鴻","170213","148","1150","1053","1075","947","13.12","856","3.74","N","N","N","",
"電腦及週邊設備業","3325","旭品","22002","27","815","586","755","533","-0.70","828","5.18","N","N","N","",
"電子零組件業","3332","幸康","183635","273","673","628","560","531","2.20","729","2.59","N","N","N","",
"光電業","3339","泰谷","109290","202","541","513","461","447","1.77","820","1.93","N","N","N","",
"電腦及週邊設備業","3349","寶德","40113","47","853","0","774","0","1.77","828","5.18","N","N","N","",
"電子零組件業","3354","律勝","37893","64","592","522","471","462","-0.74","729","2.59","N","N","N","",
"電子零組件業","3357","臺慶科","408440","445","918","746","788","647","12.08","729","2.59","N","N","N","",
"電子通路業","3360","尚立","56724","56","1013","1015","922","962","1.45","774","1.27","N","N","Y","110年度平均薪資1,012,935元較109年度1,015,134元，減少2,199元，主要為110年元月新進人員6人平均年薪較低。
另比較二年度皆有統計在內之員工(計48人)之平均年薪，110年度較109年度增加12,052元。",
"光電業","3362","先進光","321905","578","557","521","487","467","0.03","820","1.93","N","N","N","",
"通信網路業","3363","上詮","165154","275","601","561","466","429","2.31","832","1.84","N","Y","N","1.本公司產品客製化程度高,屬少量多樣產業特性，超過六成為直接作業員(包含外籍移工),因而相對拉低員工平均薪資。
2.本公司110年度公司營收及獲利成長,已適度反映於111年度員工薪資調整,公司將持續優化員工薪酬。",
"半導體業","3372","典範","339438","492","690","535","595","469","2.39","1296","7.57","N","N","N","",
"其他電子業","3373","熱映","43510","74","588","1359","537","1171","2.60","856","3.74","N","N","N","",
"半導體業","3374","精材","1440266","1542","934","903","679","669","6.92","1296","7.57","N","N","N","",
"電機機械","3379","彬台","48582","63","771","695","715","647","0.27","664","2.08","N","N","N","",
"電子零組件業","3388","崇越電","136006","97","1402","1243","1318","1201","8.04","729","2.59","N","N","N","",
"電子零組件業","3390","旭軟","148460","290","512","468","464","420","0.48","729","2.59","N","N","N","",
"其他電子業","3402","漢科","322037","397","811","736","671","623","3.93","856","3.74","N","Y","N","110年新進人員偏多，任職期間較短，全年度薪資總額相對較少，但110年全時員工薪資平均數增加10%，全時員工薪資中位數增加 7.7%，薪資水準較前一年度增加，尚屬合理範圍。",
"電機機械","3426","台興","29322","49","598","586","487","504","2.48","664","2.08","N","Y","N","1. 110年員工49人，其中本外籍作業員占40%，其薪資水準接近基本工資，故整體薪資較同業為低。
2. 111年5月進行薪資調整，調薪幅度為3%。",
"光電業","3434","哲固","65323","104","628","591","562","525","0.82","820","1.93","N","N","N","",
"半導體業","3438","類比科","237637","136","1747","1394","1544","1204","5.14","1296","7.57","N","N","N","",
"光電業","3441","聯一光電","9305","16","582","501","577","505","0.63","820","1.93","N","N","N","",
"電子通路業","3444","利機","49823","47","1060","1008","915","958","3.44","774","1.27","N","N","N","",
"光電業","3455","由田","343936","284","1211","944","1013","843","7.50","820","1.93","N","N","N","",
"電子零組件業","3465","進泰電子","25041","20","1252","796","900","589","16.36","729","2.59","N","N","N","",
"通信網路業","3466","致振","25185","34","741","748","702","669","-1.31","832","1.84","N","N","Y","110年度EPS 較109 年度成長是由於109 年度提列商譽減損約81,166千元,全時員工薪資平均數減少是110年度較109 年度分發之獎金減少所致.",
"電腦及週邊設備業","3479","安勤","273030","286","955","832","856","764","2.94","828","5.18","N","N","N","",
"電腦及週邊設備業","3483","力致","121341","156","778","732","728","682","5.34","828","5.18","N","Y","N","公司持續改善員工薪酬",
"電子零組件業","3484","崧騰","211099","190","1111","886","927","762","8.16","729","2.59","N","N","N","",
"建材營造","3489","森寶","20343","23","884","771","824","701","0.57","902","2.00","N","N","N","",
"光電業","3490","單井","96631","108","895","831","774","761","2.19","820","1.93","N","N","N","",
"通信網路業","3491","昇達科","159440","224","712","609","623","551","3.81","832","1.84","N","Y","N","本公司屬少量多樣的產業特性，超過44%為工廠產線員工，且當中有19%為外籍移工，因而相對拉低員工平均薪資，且左開金額未包含非現金給付之獎酬，綜合而言，本公司非主管職員工之整體薪資福利應未低於同業平均。",
"電子零組件業","3492","長盛","34074","42","811","758","776","766","0.50","729","2.59","N","N","N","",
"其他電子業","3498","陽程","243679","307","794","759","718","671","0.27","856","3.74","N","N","N","",
"通信網路業","3499","環天科","75448","139","543","549","468","481","-0.18","832","1.84","N","N","Y","公司EPS雖較前一年度增加,但仍在虧損中,故並無大幅調薪,僅少數人員視工作績效調整,加上年終獎金平均較去年度少發0.2個月,致平均薪資較去年微幅減少約6000元",
"其他電子業","3508","位速","68953","105","657","690","517","589","-0.92","856","3.74","N","N","Y","110因新設生產線，招募大量新進員工，以致非經理全時員工薪資平均數衰退。",
"電子零組件業","3511","矽瑪","43145","49","881","949","851","824","1.39","729","2.59","N","N","Y","110年EPS較前一年度成長,主係併入同星,如果摒除併入同星因素，矽瑪個體110較109年成長6.93%，110年新進員工較109年增加18位
(聘進年資較淺的員工, 故平均薪資較低)",
"建材營造","3512","皇龍","26501","25","1060","801","1055","766","3.79","902","2.00","N","N","N","",
"光電業","3516","亞帝歐","32093","62","518","503","436","427","0.86","820","1.93","N","N","N","",
"電子零組件業","3520","華盈","12098","18","672","607","586","507","0.13","729","2.59","N","N","N","",
"電腦及週邊設備業","3521","鴻翊","37109","61","608","665","539","579","-1.68","828","5.18","N","N","N","",
"觀光餐旅","3522","御頂","177398","368","482","512","435","445","-6.64","498","-0.73","Y","N","N","本公司自110年5月份升級為三級警戒後，實施減班減薪至10月份才陸續恢復正常上班，故110年度新資平均數未達50萬元。",
"光電業","3523","迎輝","51678","89","581","528","535","453","-1.95","820","1.93","N","N","N","",
