產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"建材營造","1316","上曜","20481","32","640","669","511","592","0.70","908","2.07","N","N","Y","本公司111年度EPS增加，惟年度薪資平均數減少，主要係本年度發放員工建案獎金減少所致(本年度梅菲案建案完工交屋，因原預估獲利因實際建築成本增加而致實際獲利較原預估減少，故本期調整減少前期已發放獎金)。",
"汽車工業","1319","東陽","2070604","3029","684","619","582","532","3.64","815","-2.37","N","Y","N","本公司為汽車上游零組件業為勞力密集生產型態，與通路服務的汽車銷售業及設計製造的組車廠人力結構有所差異。若與零組件產業比較平均年薪差異不大；另搭配公司調薪，近五年平均年薪自58.9萬增加至68.4萬成長16%。",
"塑膠工業","1321","大洋","356693","446","800","809","738","750","-0.19","1219","2.56","N","N","N","",
"塑膠工業","1323","永裕","415288","697","596","597","508","513","2.05","1219","2.56","N","N","N","",
"塑膠工業","1324","地球","119469","223","536","556","446","456","0.06","1219","2.56","N","N","Y","本公司因111年度退休及離職同仁較新進人員數為多，又因疫情關係，111年度營業額較110年度減少，　因而加班費略為減少所致，公司依章程所訂，盈餘的3%為員工紅利，均反映於員工薪資中。",
"塑膠工業","1325","恆大","67647","144","470","473","405","389","0.19","1219","2.56","Y","N","N","公司依學經歷、職位、年資、工作表現、貢獻度及勞基法規範等因素核薪，111年度因稅前獲利較前一年度減少，員工酬勞僅提撥0.5%，金額為118,657元，致使非擔任主管職務之全時員工薪資平均數僅470仟元。",
"塑膠工業","1326","台化","6324697","4489","1409","1528","1283","1435","1.26","1219","2.56","N","N","N","",
"汽車工業","1339","昭輝","154910","239","648","510","495","449","5.51","815","-2.37","N","Y","N","公司為汽車零件製造廠，不同於整車廠移工人數較低，少子化導致缺工及傳產製造環境影響，台灣人招募不易，因此只能增額錄用移工並繳交增額就業安定基金費，
而此部分並未納入平均薪資統計，致平均薪資較整車廠為低。",
"其他","1342","八貫","240003","359","669","643","538","510","7.34","893","2.87","N","Y","N","其他產業別中組成多元，本公司係製造醫療、救生、航太用機能性布料及成品組件為主，與所謂的「同業」營業屬性有相當差異。111年度非擔任主管職務員工平均薪資669千元，較上年度增加7%，經營績效與員工薪酬呈正相關。",
"紡織纖維","1402","遠東新","4143116","4098","1011","976","864","849","1.63","730","1.47","N","N","N","",
"紡織纖維","1409","新纖","1330042","1788","744","761","618","611","1.75","730","1.47","N","N","N","",
"紡織纖維","1410","南染","34197","65","526","537","528","547","0.90","730","1.47","N","N","N","",
"紡織纖維","1413","宏洲","125463","185","678","648","607","614","0.75","730","1.47","N","N","N","",
"紡織纖維","1414","東和","116208","202","575","564","529","527","0.47","730","1.47","N","N","N","",
"其他","1416","廣豐","5624","7","803","766","940","781","0.51","893","2.87","N","N","N","",
"紡織纖維","1417","嘉裕","151072","288","525","551","473","446","0.56","730","1.47","N","N","Y","110年薪資平均數較高，係因配合部分業務調整，給付優於勞基法條件的優離優退方案，拉高平均年薪總額之短期現象；排除相關金額對110年度影響後，從109年至111年，非擔任主管職務之全時員工薪資平均數是逐年提高的。",
"紡織纖維","1418","東華","21379","36","594","542","515","478","0.40","730","1.47","N","N","N","",
"紡織纖維","1419","新紡","359739","499","721","652","610","564","6.92","730","1.47","N","Y","N","出售土地獲利，致EPS優於同業水平。",
"紡織纖維","1423","利華","23415","45","520","508","481","442","0.53","730","1.47","N","N","N","",
"運動休閒","1432","大魯閣","163983","318","516","430","425","364","-0.35","920","7.61","N","N","N","",
"紡織纖維","1434","福懋","1750389","2968","590","567","523","507","2.02","730","1.47","N","Y","N","1.本公司採穩健薪酬制度，兼顧企業發展與員工生活保障，111年員工薪資平均數較110年成長4.1%。
2.111年移工約540人，佔員工人數18.2%，影響平均工資水準。",
"其他","1435","中福","7637","9","849","1005","740","552","-2.15","893","2.87","N","N","N","",
"建材營造","1436","華友聯","33985","39","871","866","819","842","6.54","908","2.07","N","Y","N","1.111年大型建案完工認列收入，EPS創歷年新高，致EPS較同業為佳，薪資平均數卻低於同業，111年已調薪1.85%~5%。
2.當年度部份員工異動，新進員工薪資較離職員工稍低及員工晉升經理人，致平均薪資減少。",
"其他","1437","勤益控","12889","21","614","696","412","415","2.00","893","2.87","N","N","N","",
"建材營造","1438","三地開發","2617","5","523","468","521","443","5.17","908","2.07","N","Y","N","公司獲利表現(EPS)較同業為佳，惟非擔任主管職務的全時員工，年薪資平均數低於同業水準。係因111年度大量進用新進人力，且年資較少，影響平均薪資，導致年薪資平均數低於同業水準。",
"建材營造","1439","雋揚","4980","7","711","911","700","898","1.14","908","2.07","N","N","N","",
"紡織纖維","1440","南紡","624422","1006","621","631","546","560","0.70","730","1.47","N","N","N","",
"紡織纖維","1441","大東","17842","27","661","600","633","559","-2.52","730","1.47","N","N","N","",
"建材營造","1442","名軒","24470","28","874","871","819","808","1.76","908","2.07","N","N","N","",
"其他","1443","立益物流","45245","71","637","604","623","574","1.67","893","2.87","N","N","N","",
"紡織纖維","1444","力麗","596267","1002","595","563","519","488","0.51","730","1.47","N","N","N","",
"紡織纖維","1445","大宇","175194","292","600","539","515","471","0.08","730","1.47","N","N","N","",
"紡織纖維","1446","宏和","22496","37","608","577","504","476","-0.27","730","1.47","N","N","N","",
"紡織纖維","1447","力鵬","738398","1217","607","555","538","499","-0.04","730","1.47","N","N","N","",
"紡織纖維","1449","佳和","395464","768","515","503","462","482","1.09","730","1.47","N","N","N","",
"紡織纖維","1451","年興","396481","668","594","595","535","526","2.15","730","1.47","N","Y","Y","依據統計資料，工廠直接人工和外籍移工人數合計占比超過55%，因此導致平均年薪低於同業水準。
本公司111年度獲利較佳，但因資深人員離職/退休致平均數下降，因此導致平均年薪較前一年度減少。",
"紡織纖維","1452","宏益","138290","230","601","740","511","626","0.97","730","1.47","N","N","N","",
"建材營造","1453","大將","6358","12","530","498","481","479","-0.12","908","2.07","N","N","N","",
"紡織纖維","1454","台富","206242","372","554","515","509","449","0.26","730","1.47","N","N","N","",
"紡織纖維","1455","集盛","768386","1181","651","691","569","587","-0.53","730","1.47","N","N","N","受累於全球不景氣及終端需求萎縮，獲利大幅
減少，依經營積效訂定年終獎金發放基準，發
放基準65天較110年120天大幅減少，若不計外
勞，111年本國員工平均薪資737仟元，仍略高
於同業平均數",
"建材營造","1456","怡華","15068","27","558","623","547","626","-0.81","908","2.07","N","N","N","",
"紡織纖維","1457","宜進","12770","16","798","600","715","589","4.55","730","1.47","N","N","N","",
"紡織纖維","1459","聯發","80422","165","487","499","432","447","-1.40","730","1.47","Y","N","N","因作業人員以外籍勞工為主，故整體薪資平均數低於同業水準。",
"紡織纖維","1460","宏遠","810826","1473","550","543","509","501","0.03","730","1.47","N","N","N","",
"紡織纖維","1463","強盛","95741","174","550","537","520","500","0.42","730","1.47","N","N","N","",
"紡織纖維","1464","得力","416764","707","589","535","549","494","0.95","730","1.47","N","N","N","本公司於111年主係營運狀況良好，致員工加班費及生產獎金連帶增加，且今年亦有調薪約3%，故薪資隨之提高。",
"紡織纖維","1465","偉全","86000","148","581","462","492","428","0.93","730","1.47","N","N","N","",
"紡織纖維","1466","聚隆","207818","344","604","651","551","600","-0.60","730","1.47","N","N","N","",
"紡織纖維","1467","南緯","123203","174","708","696","603","597","-0.16","730","1.47","N","N","N","",
"紡織纖維","1468","昶和","23408","43","544","557","470","507","0.23","730","1.47","N","N","Y","EPS為0.23小於同業1.78，其中營業外收入影響EPS 0.04。
111年員工增加四位，總數增加1,669仟元，其中兩位係建教合作工讀生。",
"紡織纖維","1470","大統新創","137208","248","553","591","471","521","0.38","730","1.47","N","N","N","",
"電子零組件業","1471","首利","21390","28","764","760","756","762","-1.05","1000","8.28","N","N","N","",
"建材營造","1472","三洋實業","7805","13","600","426","527","354","0.15","908","2.07","N","N","N","",
