產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"水泥工業","1101","台泥","1161575","1168","994","1030","871","922","1.06","882","1.68","N","N","Y","台泥112年度EPS 1.06元較高，主要係112年度營業外收入-採用權益法之子公司及關聯企業損益份額較去年同期增加新台幣29.8億元所致。",
"水泥工業","1102","亞泥","481015","444","1083","1056","941","930","3.28","882","1.68","N","N","N","",
"水泥工業","1103","嘉泥","65157","75","869","873","800","805","0.12","882","1.68","N","N","Y","112年度單一員工薪資相比111年度多是調升的，但112年度許多理級主管晉升為經理人，依規定「經理人」不計入非擔任主管職務之全時員工薪資，再加以112年有多位資深員工退休及新進員工較往年多，致整體平均薪資微幅調降",
"水泥工業","1104","環泥","379255","466","814","796","745","724","3.13","882","1.68","N","Y","N","112年度EPS較佳，主要係因營業外收入-採用權益法認列之關聯企業損益份額、以及一次性認列所致。",
"水泥工業","1108","幸福","229564","387","593","580","516","521","1.30","882","1.68","N","N","N","",
"水泥工業","1109","信大","224830","329","683","642","650","607","2.01","882","1.68","N","Y","N","本公司非擔任主管職務之全時員工，以工廠基層員工為主，且112年底新聘雇外籍員工，使薪資平均數較同業低。
112年績效良好，亦同步調增員工薪資，故平均薪資較去年增約6%，往後仍將依營運狀況，合理調整薪酬。",
"水泥工業","1110","東泥","64854","85","763","630","673","607","0.26","882","1.68","N","N","N","",
"食品工業","1201","味全","952679","1309","728","734","673","675","0.53","842","2.70","N","N","Y","本公司112年度EPS雖較111年度成長0.13%，惟112年度營收較111年度減少1.7%，致影響相關績效獎金之發放，因此即使有年度調薪，平均薪資仍較111年度減少0.8%。",
"食品工業","1203","味王","408916","682","600","609","574","579","1.80","842","2.70","N","N","N","",
"食品工業","1210","大成","2085431","2760","756","710","634","600","4.81","842","2.70","N","Y","N","本公司營業項目與其它食品業有所差異，營業比重以飼料為大宗佔50%，食品相對略低佔16%，人力結構外籍移工逾三成。依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放。",
"食品工業","1213","大飲","35445","89","398","404","383","384","-2.45","842","2.70","Y","N","N","112年4月下旬至11月因食安事件致工廠全面停工，公司營收不如預期，非經理人之全時員工薪資平均數雖未達，但非主管同仁薪資仍依基本工資做調整。",
"食品工業","1215","卜蜂","1485060","2085","712","665","563","508","7.70","842","2.70","N","Y","N","112年適逢全球禽流感，導致大量缺雞缺蛋，導致雞、 蛋雙雙創下歷史新高價格，致使公司獲利增加。員工薪資平均數較前一年增加約7%，與公司經營績效之關聯性屬合理狀況。",
"食品工業","1216","統一","6468100","5472","1182","1183","1006","1012","3.23","842","2.70","N","N","Y","EPS較前一年度增加，全時員工年度獎金總額及薪資總額均增加195,650(仟元)；
因員工人數增加168人，且高薪資深員工離退，新進員工比例增加，導致年度薪資平均數較前一年度減少",
"食品工業","1217","愛之味","368396","540","682","688","583","590","0.41","842","2.70","N","N","N","",
"食品工業","1218","泰山","307767","517","595","1049","547","853","-0.17","842","2.70","N","N","N","",
"食品工業","1219","福壽","371652","559","665","682","606","625","0.94","842","2.70","N","N","N","",
"食品工業","1220","台榮","113718","183","621","571","578","537","0.76","842","2.70","N","N","N","",
"食品工業","1225","福懋油","144150","209","690","695","631","621","1.60","842","2.70","N","N","N","",
"食品工業","1227","佳格","840524","1014","829","856","736","767","1.35","842","2.70","N","N","Y","1.2022年度因COVID-19疫情影響，為體恤並激勵同仁而加發疫情獎金，2023年度則回歸正常。
2.2023年度員工總人數增加 7.5%，因新人比例偏高而間接影響非經常性薪資。",
"食品工業","1229","聯華","964406","1251","771","749","703","680","2.64","842","2.70","N","N","N","",
"食品工業","1231","聯華食","1521941","2216","687","686","595","582","3.93","842","2.70","N","Y","N","公司基層人力佔七成以上，其中外籍移工、建教生及未全年在職人數佔38%；員工人數雖較去年成長11%，然而因新進同仁年資較少，影響整體薪資平均數。本公司秉持共創價值、利潤分享之理念，將持續提升員工薪資福利。",
"食品工業","1232","大統益","219100","139","1576","1585","1392","1362","7.53","842","2.70","N","N","N","",
"食品工業","1233","天仁","489110","788","621","544","530","487","1.06","842","2.70","N","N","N","",
"食品工業","1234","黑松","442069","528","837","816","756","733","2.36","842","2.70","N","N","N","",
"食品工業","1235","興泰","5210","12","434","421","459","440","1.10","842","2.70","Y","N","N","1.本公司已成立50多年，老員工已退休，目前員工為年資較淺之新員工。
2.公司獲利原因為業外投資收益，本業實則處於虧損狀態。
3.公司依各別員工表現予以調高薪資,並不定期加發獎金以提振員工士氣。",
"食品工業","1236","宏亞","318506","604","527","500","462","440","0.16","842","2.70","N","N","N","",
"塑膠工業","1301","台塑","8551993","6271","1364","1398","1238","1270","1.15","1175","0.68","N","N","N","",
"塑膠工業","1303","南亞","13673257","11510","1188","1238","1105","1161","0.80","1175","0.68","N","N","N","",
"塑膠工業","1304","台聚","532681","437","1219","1513","1110","1376","-0.19","1175","0.68","N","N","N","公司於年度營業終了，結算如有盈餘，除繳納稅捐、彌補虧損及提列股息公積金外，視整體營運發展及同仁績效等綜合考量後，在法遵前提下並考量外部競爭及內部衡平性，發給年終獎金及進行年度調薪。",
