產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"建材營造","2596","綠意","7872","11","716","751","752","786","0.82","955","2.42","N","N","Y","本公司已於113年1月份全面調薪，將反應於114年「非擔任主管職務之全時員工薪資資訊」之揭露申報。",
"數位雲端","2640","大車隊","223886","347","645","656","510","510","7.08","795","3.57","N","Y","Y","關於EPS高於同業平均數惟非經理人全時員工薪資平均數低於同業水準，乃因公司經營業務項目有將近3成員工屬基層作業員性質，其薪資趨近於基本薪資，因此平均數值較低，以上說明，謝謝。",
"航運業","2641","正德","37632","45","836","1368","773","895","1.69","1183","3.23","N","N","N","",
"航運業","2643","捷迅","59353","74","802","715","673","616","7.53","1183","3.23","N","Y","N","本公司雖屬航運業，但以物流相關服務為主軸，因經營模式、市場規模及行業屬性的不同，薪酬行情本不應與航空及海運比較。本公司平均薪酬水準屬同業市場行情，每年定期調薪及獎酬以凝聚員工之向心力。",
"建材營造","2718","晶悅","13121","14","937","884","694","720","7.90","955","2.42","N","Y","N","公司EPS較同業佳係因股本較同業平均低，以獲利金額觀之低於同業平均，因公司為飯店業轉型建設業，尚屬股本及個案成長階段，而員工結構尚在調整中，才會呈現此情形，惟平均薪資已較111年成長。",
"觀光餐旅","2719","燦星旅","37402","66","567","424","442","370","1.53","600","1.78","N","N","N","",
"觀光餐旅","2729","瓦城","767299","1188","646","603","582","547","12.37","600","1.78","N","N","N","",
"觀光餐旅","2732","六角","125352","209","600","600","496","495","6.42","600","1.78","N","N","N","",
"觀光餐旅","2734","易飛網","78229","132","593","512","522","452","0.56","600","1.78","N","N","N","",
"觀光餐旅","2736","富野","82536","196","421","404","379","360","-0.40","600","1.78","Y","N","N","主要係因服務業人力招募不易,以臨時員工補充人力缺口,故整體薪資結構偏低",
"觀光餐旅","2740","天蔥","54051","85","636","448","556","449","-2.15","600","1.78","N","N","N","",
"觀光餐旅","2743","山富","150006","233","644","393","528","350","9.66","600","1.78","N","N","N","",
"觀光餐旅","2745","五福","196159","300","654","372","548","354","7.87","600","1.78","N","N","N","",
"觀光餐旅","2752","豆府","433919","730","594","543","528","494","14.78","600","1.78","N","Y","N","因疫情後展店需求，2023年招募較多新進員工，惟本公司較去年度非經理人之全時員工薪資平均數增加約9.39%，成長幅度與同業平均相當。",
"觀光餐旅","2754","亞洲藏壽司","314802","508","620","648","421","457","4.54","600","1.78","N","N","N","",
"觀光餐旅","2755","揚秦","207377","312","665","628","564","534","4.40","600","1.78","N","N","N","",
"觀光餐旅","2756","聯發國際","63814","82","778","712","674","612","4.56","600","1.78","N","N","N","",
"居家生活","2916","滿心","307838","566","544","503","486","445","4.61","655","6.45","N","N","N","",
"文化創意業","2926","誠品生活","786615","1064","739","719","602","570","-2.73","1181","5.68","N","N","N","",
"居家生活","2937","集雅社","255977","356","719","722","609","606","2.81","655","6.45","N","N","N","",
"居家生活","2941","米斯特","81952","183","448","0","411","0","4.16","655","6.45","Y","N","N","本公司為零售業,因112年度大幅展店,新進人員較多,薪資結構上基層人員占比較高,故影響整體平均薪資。",
