產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"水泥工業","1101","台泥","1181332","1092","1082","1095","958","946","3.30","898","3.20","N","N","N","",
"水泥工業","1102","亞泥","498194","449","1110","1117","1003","1006","4.70","898","3.20","N","N","N","",
"水泥工業","1103","嘉泥","87689","77","1139","1273","923","1061","1.02","898","3.20","N","N","N","",
"水泥工業","1104","環泥","332115","437","760","758","678","675","1.66","898","3.20","N","N","N","",
"水泥工業","1108","幸福","202058","386","523","521","478","474","0.65","898","3.20","N","N","N","",
"水泥工業","1109","信大","224476","338","664","657","624","612","2.52","898","3.20","N","N","N","",
"水泥工業","1110","東泥","59082","98","603","575","587","558","0.25","898","3.20","N","N","N","",
"食品工業","1201","味全","969652","1319","735","702","657","654","1.00","812","2.79","N","N","N","",
"食品工業","1203","味王","410323","702","585","573","555","544","1.88","812","2.79","N","N","N","",
"食品工業","1210","大成","1674706","2403","697","701","598","591","2.32","812","2.79","N","N","N","",
"食品工業","1213","大飲","44145","99","446","397","402","371","-1.67","812","2.79","Y","N","N","因疫情影響本公司營收不如預期，非經理人之全時員工薪資平均數雖未達50萬元，但為激勵員工士氣，非主管同仁薪資仍依基本薪資調幅調整。",
"食品工業","1215","卜蜂","1482166","2558","579","641","497","504","5.06","812","2.79","N","Y","N","本公司屬勞力密集,生產部員工學歷偏低,如扣除依法申請外勞(約佔總人數36%),本國員工薪資符合市場行情。
110年因疫情因素致生產加班降低,致未成長,而影響薪資平均數。",
"食品工業","1216","統一","6446556","5297","1217","1235","1043","1051","3.50","812","2.79","N","N","N","",
"食品工業","1217","愛之味","351661","514","684","671","582","559","0.41","812","2.79","N","N","N","",
"食品工業","1218","泰山","384927","522","737","748","634","641","1.22","812","2.79","N","N","N","",
"食品工業","1219","福壽","371508","574","647","634","599","591","1.00","812","2.79","N","N","N","",
"食品工業","1220","台榮","120510","200","603","561","553","538","1.00","812","2.79","N","N","N","",
"食品工業","1225","福懋油","152210","217","701","660","614","585","2.07","812","2.79","N","N","N","",
"食品工業","1227","佳格","786123","951","827","800","758","722","2.70","812","2.79","N","N","N","",
"食品工業","1229","聯華","869195","1177","738","735","673","677","2.92","812","2.79","N","Y","N","本公司原屬於食品類股，108年變更為產業投資控股公司，公司獲利貢獻來自於各轉投資事業收益，若單獨以旗下轉投資食品事業與同業比較，獲利並未優於同業。",
"食品工業","1231","聯華食","1236332","1950","634","589","534","499","4.03","812","2.79","N","Y","N","本公司基層生產線作業人員佔全體員工人數達70%，其中外籍同仁及未全年在職人數佔33%，今年員工薪資平均數已較前一年度增加約7.64%，本公司秉持共創價值、利潤分享之理念，將持續提升員工薪資福利。",
"食品工業","1232","大統益","221113","139","1591","1561","1382","1356","7.76","812","2.79","N","N","N","",
"食品工業","1233","天仁","431229","848","509","510","455","446","0.48","812","2.79","N","N","N","",
"食品工業","1234","黑松","411547","528","779","772","577","669","1.98","812","2.79","N","N","N","",
"食品工業","1235","興泰","7103","18","395","382","406","409","0.81","812","2.79","Y","N","N","1.本公司已成立40多年，老員工已退休，目前員工為年資較淺之新員工。
2.公司獲利原因為業外投資收益，本業實則處於虧損狀態。
3.公司依各別員工表現予以調高薪資,並不定期加發獎金以提振員工士氣。",
"食品工業","1236","宏亞","290457","597","487","481","457","425","-0.25","812","2.79","Y","N","N","110年度平均薪資與109年相較已有微幅成長,110年度調整同仁基本薪資，調幅約1.5-2%，但因疫情延續，銷售營運及生產開班數均受影響，故其獎金及加班費僅持平，因此其薪資總額未能大幅成長。",
"塑膠工業","1301","台塑","9477686","6293","1506","1306","1403","1186","11.21","1344","7.15","N","N","N","",
"塑膠工業","1303","南亞","16968738","12035","1410","1197","1369","1132","10.25","1344","7.15","N","N","N","",
"塑膠工業","1304","台聚","676446","460","1471","1201","1318","1090","4.84","1344","7.15","N","N","N","公司於年度營業終了，結算如有盈餘，除繳納稅捐、彌補虧損及提列股息公積金外，視整體營運發展及同仁績效回饋以外部競爭、內部公平及合法性為前提一同分享經營成果。",
"塑膠工業","1305","華夏","808102","679","1190","995","1165","965","4.25","1344","7.15","N","N","N","本公司員工酬勞制度在公司章程中已訂定，所有本公司員工均可分享公司經營成果。
此外，本公司每月發給員工績效獎金，發放標準依當月銷售、毛利、應收帳款、生產力、收率、單位能耗等績效做為計算依據。",
"塑膠工業","1307","三芳","413505","660","627","588","600","551","0.29","1344","7.15","N","N","N","",
"塑膠工業","1308","亞聚","315116","219","1439","1286","1346","1197","5.22","1344","7.15","N","N","N","依據公司營運獲利情形及個人績效，發放年終獎金及調整薪資。",
"塑膠工業","1309","台達化","509592","373","1366","1225","1280","1142","4.89","1344","7.15","N","N","N","每年依公司營運狀況調整員工薪資，並依營運策略全產全銷制訂合理之績效獎金制度，以達營運目標。",
"塑膠工業","1310","台苯","192820","182","1059","1090","1018","1040","0.20","1344","7.15","N","N","N","",
"塑膠工業","1312","國喬","572245","360","1590","1269","1426","1209","6.47","1344","7.15","N","N","N","",
"塑膠工業","1313","聯成","277947","217","1281","1200","891","1123","1.66","1344","7.15","N","N","N","",
"塑膠工業","1314","中石化","1235791","1249","989","777","899","715","1.09","1344","7.15","N","N","N","",
"塑膠工業","1315","達新","201361","336","599","568","520","508","0.04","1344","7.15","N","N","N","",
"建材營造","1316","上曜","24738","37","669","736","592","592","-0.50","888","2.42","N","N","N","",
"汽車工業","1319","東陽","1887763","3048","619","568","532","501","1.16","776","5.81","N","N","N","",
"塑膠工業","1321","大洋","365084","451","809","735","750","689","1.45","1344","7.15","N","N","N","",
"塑膠工業","1323","永裕","436305","731","597","569","513","477","3.04","1344","7.15","N","N","N","",
"塑膠工業","1324","地球","132283","238","556","541","456","457","0.01","1344","7.15","N","N","N","",
"塑膠工業","1325","恆大","107864","228","473","990","389","734","3.26","1344","7.15","Y","N","N","公司依學經歷、職位、年資、工作表現、貢獻度及勞基法規範等因素核薪，110年度因稅前獲利較前一年度減少，員工酬勞僅提撥2.5%，金額為10,105,386元，致使非擔任主管職務之全時員工薪資平均數僅473仟元。",
"塑膠工業","1326","台化","6878548","4503","1528","1320","1435","1189","6.56","1344","7.15","N","N","N","",
"汽車工業","1339","昭輝","132159","259","510","483","449","415","1.83","776","5.81","N","N","N","",
"其他","1342","八貫","193617","301","643","638","510","548","3.92","908","4.11","N","N","N","",
"紡織纖維","1402","遠東新","4076480","4176","976","919","849","808","1.94","699","1.61","N","N","N","",
"紡織纖維","1409","新纖","1342724","1764","761","639","611","549","2.41","699","1.61","N","N","N","",
"紡織纖維","1410","南染","37082","69","537","502","547","524","1.29","699","1.61","N","N","N","",
"紡織纖維","1413","宏洲","125758","194","648","561","614","519","0.80","699","1.61","N","N","N","",
"紡織纖維","1414","東和","111142","197","564","475","527","447","0.65","699","1.61","N","N","N","",
"其他","1416","廣豐","6129","8","766","639","781","599","0.44","908","4.11","N","N","N","",
"紡織纖維","1417","嘉裕","175300","318","551","500","446","454","0.51","699","1.61","N","N","N","",
"紡織纖維","1418","東華","22235","41","542","479","478","429","-3.10","699","1.61","N","N","N","",
"紡織纖維","1419","新紡","303130","465","652","586","564","518","1.51","699","1.61","N","N","N","",
"紡織纖維","1423","利華","28969","57","508","596","442","558","1.11","699","1.61","N","N","N","",
