產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"塑膠工業","1307","三芳","507236","500","1014","848","19.58%","971","808","20.17%","3.72","1209","-0.08","N","Y","N","本公司主要生產人工皮革,鞋材佔比約90%,因113年大型賽事展開,及上游原料成本的低檔維持,助益EPS較去年同期成長約95%,本公司亦考量通貨膨漲調整員工薪資,非擔任主管職務之員工薪資平均數較去年同期成長約20%。","本公司均會參考同業水準調整員工薪資",
"塑膠工業","1308","亞聚","244964","224","1094","1283","-14.73%","1035","1199","-13.68%","-1.26","1209","-0.08","N","N","N","公司依據年度營運成果，參考國內業界發放水平及員工績效等綜合因素考量後，決定員工獎金分配方式與進行年度調薪。","持續掌握國內業界發放水平，同時優化員工績效管理體系，以調整及改善員工薪酬。",
"塑膠工業","1309","台達化","362773","352","1031","1031","0.00%","987","968","1.96%","-0.56","1209","-0.08","N","N","N","","",
"塑膠工業","1310","台苯","167926","179","938","912","2.85%","849","799","6.26%","-0.72","1209","-0.08","N","N","N","","",
"塑膠工業","1312","國喬","356024","359","992","891","11.34%","887","798","11.15%","-1.42","1209","-0.08","N","N","N","","",
"塑膠工業","1313","聯成","273507","219","1249","1233","1.30%","1145","1127","1.60%","-1.79","1209","-0.08","N","N","N","","",
"塑膠工業","1314","中石化","883484","1041","849","760","11.71%","781","699","11.73%","0.07","1209","-0.08","N","Y","N","1.依學經歷、職等及勞基法規範核薪，並逐年檢視依公司營運及獲利情況調整。
2.113年本業營收與獲利皆較112年衰退，致使中石化全時員工年度(薪資平均數)低於同業水準。","推動多元化獎酬與福利制度，將公司經營盈餘連結個人績效，並定期市場薪資調查，建立薪資調整機制，確保薪資具競爭性。未來將持續檢討並優化薪酬制度，達成「企業永續經營、員工共享成果」之目標。",
"塑膠工業","1315","達新","209716","330","636","624","1.92%","583","558","4.48%","2.15","1209","-0.08","N","Y","N","1.依學經歷、職等及薪資敘薪標準核薪，秉持共享營運績效原則，並逐年依公司營運狀況適時調整。
2.營業項目塑膠製品62.61%
3.外籍員工占全體員工14.55%
4.上述說明，成長優於同業、較同業標準低，係屬合理。","1.本公司產品多樣，塑膠製品占6成，相較同業資訊，衡量基礎不同。
2.提升整體團隊對長期績效之責任與擔當，共創營運佳績。",
"建材營造","1316","上曜","21945","29","757","719","5.29%","540","541","-0.18%","-0.79","974","2.65","N","N","N","","",
"汽車工業","1319","東陽","2802676","3518","797","748","6.55%","648","630","2.86%","7.40","892","5.84","N","Y","N","公司為汽車上游零組件業，勞力密集生產型態，其中外籍員工佔比約四成，影響整體平均薪資水準；每年依營運及獲利持續調薪，近年平均年薪自58.9萬(2018年)調至79.7萬(2024年)，增幅約35%。2024年人事費用成長5.25%。","公司後續仍將視營運狀況不斷檢討、提升員工薪酬福
利，2025年人事費用成長預計可達5.5%",
"塑膠工業","1321","大洋","347274","442","786","764","2.88%","728","710","2.54%","0.76","1209","-0.08","N","Y","N","財報所示之淨利來源實非本業而係業外收益所致，惟業外收益為非經常性收入、抑或為評價利益，故難成為穩定之經濟來源或轉化為員工薪酬發放之基礎。","待本業獲利回升將優先檢視薪資結構與同仁福祉，善盡企業責任。",
"塑膠工業","1323","永裕","408895","687","595","601","-1.00%","529","551","-3.99%","2.58","1209","-0.08","N","Y","Y","1. 113年客戶訂單、營業毛利及營業利益大幅下降，連帶加班費、獎金減少。
2. 113年7月喪失對子公司實質控制力，產生處分投資利益約1.7億，致EPS增加約1.9元，與實質營業活
動無涉。","遵循公司章程規定，於114年員工酬勞數額中，不得少於40%應為分派予基層員工之酬勞。",
"塑膠工業","1324","地球","121307","216","562","587","-4.26%","453","481","-5.82%","0.09","1209","-0.08","N","Y","N","本公司薪資水準穩定，113年因營業額減少，薪資微幅減少,仍屬平穩。","本公司持續關注本業經營及員工之薪資福利",
"塑膠工業","1325","恆大","58056","114","509","506","0.59%","457","465","-1.72%","-0.60","1209","-0.08","N","N","N","","",
"塑膠工業","1326","台化","5885000","4179","1408","1352","4.14%","1279","1229","4.07%","0.06","1209","-0.08","N","N","N","","",
"汽車工業","1339","昭輝","172020","261","659","680","-3.09%","508","518","-1.93%","5.01","892","5.84","N","N","N","","",
"其他","1342","八貫","256708","376","683","652","4.75%","578","518","11.58%","6.27","969","3.42","N","Y","N","本公司113年因新進員工人數較多，非全年的員工人數較多，但因113年進行員工調薪，113年的非擔任主管職務員工薪資仍較112年佳。","隨員工平均年資增加，員工薪酬將依績效表現等…調整。",
"紡織纖維","1402","遠東新","4091127","3748","1092","994","9.86%","914","832","9.86%","2.00","758","1.55","N","N","N","","",
"紡織纖維","1409","新纖","1162964","1622","717","651","10.14%","662","636","4.09%","1.06","758","1.55","N","N","N","","",
"紡織纖維","1410","南染","4921","9","547","560","-2.32%","529","501","5.59%","0.57","758","1.55","N","N","Y","本公司113年EPS由0.24元成長至0.57元，惟非主管全時員工平均薪資由56萬元降至54.7萬元，主因112年組織重整，認列較高資遣費等非經常性費用致EPS偏低。現組織已趨穩定，未來員工報酬將與營運績效趨於同步。","目前公司組織已趨穩定，未來將持續提升營運績效，並確保員工報酬與公司成長同步。",
"紡織纖維","1413","宏洲","110560","167","662","605","9.42%","616","542","13.65%","-0.17","758","1.55","N","N","N","","",
"紡織纖維","1414","東和","94728","186","509","487","4.52%","468","453","3.31%","0.26","758","1.55","N","N","N","","",
"其他","1416","廣豐","4583","5","917","845","8.52%","946","855","10.64%","0.79","969","3.42","N","N","N","","",
"紡織纖維","1417","嘉裕","137127","246","557","569","-2.11%","486","540","-10.00%","-0.81","758","1.55","N","N","N","","",
"紡織纖維","1418","東華","18446","28","659","602","9.47%","545","521","4.61%","0.47","758","1.55","N","N","N","","",
"紡織纖維","1419","新紡","430975","606","711","701","1.43%","596","596","0.00%","2.90","758","1.55","N","Y","N","本公司113年擴增新部門-國軍供售服務處，使員工人數、營業收入及獲利均有成長。
薪資與工作績效、實際貢獻度及獲利成果連動，獎金主要呈現在與營運相關單位人員薪資上。","未來將持續優化績效分享制度，強化成果共享機制並精進職能與技能發展路徑，促進員工成長。",
"紡織纖維","1423","利華","23621","41","576","562","2.49%","534","498","7.23%","0.81","758","1.55","N","N","N","","",
"運動休閒","1432","大魯閣","196141","339","579","550","5.27%","495","472","4.87%","-0.47","872","5.72","N","N","N","","",
"紡織纖維","1434","福懋","1518488","2736","555","564","-1.60%","489","493","-0.81%","0.89","758","1.55","N","N","Y","此為年終獎金發放月數差異影響，年終獎金是反映上一年度績效，112年經營績效較111年差，致113年年終獎金發放金額較112年減少，造成平均數減少。","反映公司營運狀況發放薪資及獎金。",
