產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-112年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-112年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"鋼鐵工業","2017","官田鋼","146187","258","567","506","12.06%","496","440","12.73%","0.28","1016","0.69","N","N","N","","",
"鋼鐵工業","2020","美亞","260524","321","812","819","-0.85%","694","694","0.00%","3.09","1016","0.69","N","Y","N","本公司113年度獲利扣除業外賠償收入後，本公司非經理人之全時員工薪資平均數無低於同業水準。","強化人員的升遷調薪制度及員工的績效獎金，並配合章程訂明以年度盈餘提撥一定比率為基層員工調整薪資或分派酬勞之相關事項，獲利提撥其中不低於百分之十分派予基層員工。",
"鋼鐵工業","2022","聚亨","61251","101","606","569","6.50%","567","522","8.62%","-0.49","1016","0.69","N","N","N","","",
"鋼鐵工業","2023","燁輝","1205958","1381","873","866","0.81%","852","842","1.19%","-0.81","1016","0.69","N","N","N","","",
"鋼鐵工業","2024","志聯","79945","140","571","519","10.02%","528","481","9.77%","0.16","1016","0.69","N","N","N","","",
"鋼鐵工業","2025","千興","36007","62","581","568","2.29%","570","549","3.83%","-1.42","1016","0.69","N","N","N","","",
"鋼鐵工業","2027","大成鋼","732398","994","737","480","53.54%","639","458","39.52%","1.53","1016","0.69","N","Y","N","公司主要的獲利係來自海外子公司
員工薪酬係按照集團獲利狀況整體考量予以分配
另外考量台灣實際通膨狀況","已於114年2月調整薪資",
"鋼鐵工業","2028","威致","292238","362","807","784","2.93%","768","737","4.21%","0.98","1016","0.69","N","Y","N","非擔任主管職務之全時員工，以工廠基層員工及外籍員工為主，且外籍員工占全體員工約20%。本公司薪資一向優於政府法規，但礙於獲利(產品別與同業不盡相同)，致薪酬水平無法與一般同業一樣。","113年已修改公司章程提高員工酬勞提撥率，且113年員工薪資平均數較112年度增加2.93%，公司仍持續加強公司競爭力，增進公司獲利率，將利潤分享員工，給員工更好薪資及福利。",
"鋼鐵工業","2029","盛餘","544650","488","1116","1140","-2.11%","1034","1050","-1.52%","1.81","1016","0.69","N","N","N","","",
"鋼鐵工業","2030","彰源","399880","582","687","655","4.89%","608","581","4.65%","0.84","1016","0.69","N","Y","N","本公司113年EPS較112年增加0.66元，非擔任主管職務之全時員工薪資平均數較112年增加32仟元/人，薪酬與公司績效呈正向變動。","本公司員工酬勞含固定薪資、紅利、獎金等，依其職務及個人績效表現給予合理報酬。保障員工薪資不受產業週期變化大幅影響。公司章程訂有「公司年度如有獲利，應提撥1%為員工酬勞」，使所有員工均可分享公司經營成果。",
"鋼鐵工業","2031","新光鋼","203338","261","779","807","-3.47%","657","703","-6.54%","4.50","1016","0.69","N","Y","N","本公司已訂定合理的員工福利措施，實施性別平等薪資，並提供透明且公平的升遷管道。薪資報酬政策係依據員工的專業能力、工作貢獻度、績效表現、市場競爭性及考量公司未來營運風險等指標，並依公司章程規定。","本公司已訂定合理的員工福利措施及績效考核和薪酬制度，定期檢視工作說明書、進行工作評價，並與市場薪資比較，確保薪資具有競爭力。明確績效與薪酬的連結，並提供具體的加薪依據，能有效提升員工滿意度和忠誠度。",
"鋼鐵工業","2032","新鋼","86361","157","550","520","5.77%","526","494","6.48%","0.45","1016","0.69","N","N","N","","",
"鋼鐵工業","2033","佳大","56540","103","549","522","5.17%","538","496","8.47%","0.19","1016","0.69","N","N","N","","",
"鋼鐵工業","2034","允強","486729","712","684","605","13.06%","638","559","14.13%","-0.22","1016","0.69","N","N","N","","",
"鋼鐵工業","2038","海光","263580","395","667","622","7.23%","604","574","5.23%","0.20","1016","0.69","N","N","N","","",
"電機機械","2049","上銀","3746425","4456","841","798","5.39%","792","760","4.21%","5.57","864","3.85","N","Y","N","1.本公司生產製造主要集中於台灣，台灣總公司人力結構以一般生產人員佔多數
2.本公司外籍勞工人數佔總人數約16%，拉低整體薪資平均數
3.本公司大力推廣產學合作，產學生人數約10%，因其無加班致拉低整體薪資平均數","1依據公司營運狀況與參考外部薪資行情，規劃執行年度調薪2產學生皆以正式員工任用，持續每年度進行晉升職等作業，予以調加薪資3以智慧自動化專案逐步合理化外籍勞工進用占比；留任績優外籍勞工予以轉任中階技術工",
"電子零組件業","2059","川湖","509254","502","1014","669","51.57%","729","498","46.39%","64.59","994","6.57","N","N","N","","",
"居家生活","2062","橋椿","474029","850","558","552","1.09%","501","477","5.03%","2.72","761","7.06","N","N","N","","",
"鋼鐵工業","2069","運錩","93167","151","617","532","15.98%","550","473","16.28%","1.35","1016","0.69","N","Y","N","因外藉移工多數領基本工資且佔員工比例高，故拉低薪資平均","逐年調高員工薪資水準平圴約5%左右",
"橡膠工業","2101","南港","784961","965","813","727","11.83%","719","639","12.52%","3.53","761","1.40","N","N","N","","",
"橡膠工業","2102","泰豐","25574","38","673","711","-5.34%","675","657","2.74%","-1.01","761","1.40","N","N","Y","EPS雖提高但目前仍為虧損狀態，故無調整員工薪資。薪資平均數減少原因為資深員工離職使平均薪資下降。","待轉虧為盈時，重新檢視薪資水準以確保員工薪資競爭力。",
"橡膠工業","2103","台橡","738881","624","1184","1158","2.25%","1061","1042","1.82%","1.04","761","1.40","N","N","N","","",
"橡膠工業","2104","國際中橡","254812","242","1053","1070","-1.59%","909","935","-2.78%","-2.80","761","1.40","N","N","N","","",
"橡膠工業","2105","正新","3041150","4143","734","703","4.41%","696","664","4.82%","2.47","761","1.40","N","Y","N","本公司為輪胎製造業與其它橡膠工業產業屬性不同，現場需求大量人工作業。非擔任主管職務之全時員工平均薪資優於中部地區同產業公司，且較去年度成長4.4%","113年公司依員工工作表現予以調薪，非擔任主管職務之全時員工平均薪資調幅為4.8%。",
"橡膠工業","2106","建大","1041745","1673","623","585","6.50%","587","543","8.10%","1.30","761","1.40","N","N","N","","",
"橡膠工業","2107","厚生","118287","180","657","663","-0.91%","603","605","-0.33%","1.89","761","1.40","N","Y","Y","員工薪酬依據個別員工、部門及全公司績效獲利而有不同，並參考同業整體經濟及物價水準調整之。","本公司113年營運表現及獲利較前一年度成長,為積極留才,鼓勵員工,將於114年度為非經理人員工調薪3%。",
"橡膠工業","2108","南帝","292197","268","1090","1115","-2.24%","1009","1058","-4.63%","1.14","761","1.40","N","N","N","","",
"橡膠工業","2109","華豐","308317","505","611","570","7.19%","548","498","10.04%","1.61","761","1.40","N","Y","N","1.本公司於113年實施調薪政策，員工平均薪資較前一年度已有所提升。
2.我司為輪胎製造業，勞力需求高，與上游橡膠原料供應商之同業人力需求結構有所差別。","本公司將視每年度營運情形調整員工薪資及相關獎金與紅利之發放。",
"橡膠工業","2114","鑫永銓","54367","94","578","580","-0.34%","554","554","0.00%","5.11","761","1.40","N","Y","N","受景氣需求影響113年度營收較去年減少6%，獲利減少15%，但員工薪資平均數與去年比較並無差異。","本公司秉持共創價值分享利益，持續優化同仁薪資水準。",
"汽車工業","2201","裕隆","977842","1074","910","898","1.34%","853","847","0.71%","3.78","892","5.84","N","N","N","","",
"汽車工業","2204","中華","2299482","2203","1044","1207","-13.50%","967","1075","-10.05%","7.34","892","5.84","N","N","N","","",
"汽車工業","2206","三陽工業","2775574","2415","1149","1177","-2.38%","1085","1122","-3.30%","6.02","892","5.84","N","N","N","","",
"汽車工業","2207","和泰車","1434839","536","2677","2630","1.79%","2103","1991","5.63%","36.74","892","5.84","N","N","N","","",
"航運業","2208","台船","2643342","2763","957","956","0.10%","900","907","-0.77%","-2.20","1566","8.85","N","N","N","","",
"鋼鐵工業","2211","長榮鋼","633669","603","1051","1086","-3.22%","1021","1044","-2.20%","6.12","1016","0.69","N","N","N","","",
"汽車工業","2227","裕日車","425697","351","1213","1205","0.66%","1164","1142","1.93%","5.57","892","5.84","N","N","N","","",
"汽車工業","2228","劍麟","287066","422","680","641","6.08%","572","540","5.93%","9.51","892","5.84","N","Y","N","1.EPS主要歸功於海外子公司。2.合理性：每年參考CPI、外部薪資調查，檢視薪等表市場定位；近10年平均調薪幅度>3%。3.關聯性：自105年度起，依據年度獲利狀況發放員工酬勞；每年視經營績效決議調薪幅度與年獎發放額。","設計生產獎金、專案獎金等激勵方案，提高生產力與提供對應報酬。",
"汽車工業","2231","為升","228559","344","664","643","3.27%","567","549","3.28%","3.37","892","5.84","N","N","N","","",
"汽車工業","2233","宇隆","253353","329","770","631","22.03%","626","522","19.92%","10.96","892","5.84","N","Y","N","本公司人力結構中所屬直接員工數佔總人數之五成，其中外籍員工佔直接員工數約五成，因此影響整體薪資之平均。","透過調整集中依賴特定族群的外籍人力，進而逐步調整人力結構，並提升整體薪資結構。",
"汽車工業","2241","艾姆勒","142373","188","757","739","2.44%","687","675","1.78%","-1.98","892","5.84","N","N","N","","",
"汽車工業","2247","汎德永業","1753995","1446","1213","1117","8.59%","916","849","7.89%","23.93","892","5.84","N","N","N","","",
"汽車工業","2254","巨鎧精密-創","70689","135","524","467","12.21%","484","426","13.62%","-1.06","892","5.84","N","N","N","","",
"汽車工業","2258","鴻華先進-創","1148830","842","1364","1294","5.41%","1148","1083","6.00%","-1.23","892","5.84","N","N","N","","",
"電腦及週邊設備業","2301","光寶科","6436111","4322","1489","1414","5.30%","1246","1130","10.27%","5.21","1404","6.67","N","N","N","","",
"半導體業","2302","麗正","27825","42","663","733","-9.55%","534","557","-4.13%","0.75","1998","19.23","N","N","Y","本公司113年度EPS較112年度增加，是反映集團團隊合併營運績效，但員工薪酬查核是以個體財報為基礎，故整體而言公司集團經營績效與員工薪酬均較前一年度增加，其變動尚屬合理。","未來公司將同時強化臺灣端員工編製結構，提升產出價值，可望增加薪資水平。",
"半導體業","2303","聯電","21822036","12122","1800","1851","-2.76%","1611","1577","2.16%","3.80","1998","19.23","N","N","N","","",
"電腦及週邊設備業","2305","全友","59618","71","840","807","4.09%","802","790","1.52%","0.14","1404","6.67","N","N","N","","",
"電子零組件業","2308","台達電","22453484","12290","1827","1734","5.36%","1543","1466","5.25%","13.56","994","6.57","N","N","N","","",
"其他電子業","2312","金寶","619960","369","1680","1469","14.36%","1396","1236","12.95%","1.11","1429","9.28","N","N","N","","",
"電子零組件業","2313","華通","4376116","4468","979","912","7.35%","883","814","8.48%","4.70","994","6.57","N","N","N","","",
"通信網路業","2314","台揚","237006","261","908","850","6.82%","815","635","28.35%","-4.55","1302","3.74","N","N","N","","",
"電子零組件業","2316","楠梓電","592308","1074","551","495","11.31%","508","450","12.89%","4.28","994","6.57","N","N","N","","",
"其他電子業","2317","鴻海","10476091","3923","2670","2517","6.08%","1937","1772","9.31%","11.01","1429","9.28","N","N","N","","",
"通信網路業","2321","東訊","103990","138","754","781","-3.46%","659","644","2.33%","-1.09","1302","3.74","N","N","Y","1.薪資較高且具經驗之資深員工較少所致，進而拉低整體平均薪資。
2.113年度EPS為-1.09，雖較前一年度成長，但營運處於虧損狀態，員工薪酬亦受影響","本公司將盡力提升營運績效，彌補虧損，未來將依據獲利情形重新規劃員工之福利及薪資制度以期符合標準。",
"光電業","2323","中環","332306","529","628","623","0.80%","581","544","6.80%","-0.27","1015","1.21","N","N","N","","",
"電腦及週邊設備業","2324","仁寶","11931893","8131","1467","1402","4.64%","1348","1255","7.41%","2.30","1404","6.67","N","N","N","","",
"電子零組件業","2327","國巨","2761354","3571","773","745","3.76%","672","629","6.84%","38.13","994","6.57","N","Y","N","主因台灣地區直接人工比例高(超過50%)、人力結構和同業有差異所致，惟公司每年均實施調薪並發放績效獎金，參酌市場水平，薪酬具合理性。","公司已啟動薪酬結構檢討、強化績效連動、優化調薪機制，並推動基層員工關懷與留才方案。",
"電子零組件業","2328","廣宇","58322","41","1422","1569","-9.37%","1244","1353","-8.06%","2.00","994","6.57","N","N","N","","",
"半導體業","2329","華泰","3112910","4415","705","731","-3.56%","624","642","-2.80%","1.71","1998","19.23","N","N","N","","",
"半導體業","2330","台積電","232790994","68647","3391","2842","19.32%","2645","2248","17.66%","45.25","1998","19.23","N","N","N","","",
"電腦及週邊設備業","2331","精英","620384","557","1114","1307","-14.77%","981","1120","-12.41%","-0.16","1404","6.67","N","N","N","","",
"通信網路業","2332","友訊","513706","434","1184","1139","3.95%","1060","1040","1.92%","0.06","1302","3.74","N","N","N","","",
"半導體業","2337","旺宏","4944047","3482","1420","1382","2.75%","1199","1173","2.22%","-1.73","1998","19.23","N","N","N","","",
"半導體業","2338","光罩","361794","436","830","995","-16.58%","710","849","-16.37%","-2.21","1998","19.23","N","N","N","","",
"半導體業","2340","台亞","596234","755","790","820","-3.66%","700","711","-1.55%","-1.16","1998","19.23","N","N","N","","",
"半導體業","2342","茂矽","489215","569","860","808","6.44%","760","715","6.29%","0.58","1998","19.23","N","N","N","","",
"半導體業","2344","華邦電","5907684","3422","1726","1589","8.62%","1513","1382","9.48%","0.14","1998","19.23","N","N","N","","",
"通信網路業","2345","智邦","5080336","3295","1542","1385","11.34%","1149","982","17.01%","21.49","1302","3.74","N","N","N","","",
"電子通路業","2347","聯強","696397","574","1213","1201","1.00%","1044","1030","1.36%","5.52","1070","4.70","N","N","N","","",
"其他","2348","海悅","244487","160","1528","1255","21.75%","1271","1058","20.13%","14.43","969","3.42","N","N","N","","",
"光電業","2349","錸德","393992","565","697","665","4.81%","549","541","1.48%","0.07","1015","1.21","N","N","N","","",
"半導體業","2351","順德","951481","1348","706","692","2.02%","608","593","2.53%","3.71","1998","19.23","N","N","N","","",
"電腦及週邊設備業","2352","佳世達","2126611","1536","1385","1592","-13.00%","1192","1320","-9.70%","1.11","1404","6.67","N","N","N","","",
"電腦及週邊設備業","2353","宏碁","2529865","1443","1753","1422","23.28%","1439","1186","21.33%","1.84","1404","6.67","N","N","N","","",
"其他電子業","2354","鴻準","754089","342","2205","2266","-2.69%","1588","1553","2.25%","2.53","1429","9.28","N","N","N","","",
"電子零組件業","2355","敬鵬","2044181","2789","733","702","4.42%","648","632","2.53%","2.85","994","6.57","N","N","N","","",
"電腦及週邊設備業","2356","英業達","7193198","6240","1153","1129","2.13%","973","948","2.64%","2.03","1404","6.67","N","N","N","","",
"電腦及週邊設備業","2357","華碩","13155385","7160","1837","1691","8.63%","1473","1375","7.13%","42.27","1404","6.67","N","N","N","","",
"其他電子業","2359","所羅門","248424","262","948","895","5.92%","828","783","5.75%","0.84","1429","9.28","N","N","N","","",
"其他電子業","2360","致茂","2679005","1920","1395","1154","20.88%","1144","1001","14.29%","12.49","1429","9.28","N","Y","N","本公司所屬類別為「其他電子業」，惟本公司所營事業為量測儀器設備產業，與「其他電子業」所列之其他企業相較，不論所營事業、企業規模均差異甚大，要求本公司須就低於同業水準之情況進行說明，實屬為難。","本公司薪酬政策皆考量公司經營績效與個人績效展現，將於年度員工酬勞發放及年度調薪進行相應衡量與調整。",
"電腦及週邊設備業","2362","藍天","626440","518","1209","1206","0.25%","1116","1101","1.36%","3.02","1404","6.67","N","N","N","","",
"半導體業","2363","矽統","240462","126","1908","1414","34.94%","1574","1310","20.15%","0.81","1998","19.23","N","N","N","","",
"電腦及週邊設備業","2364","倫飛","145346","168","865","802","7.86%","691","665","3.91%","4.09","1404","6.67","N","N","N","","",
"電腦及週邊設備業","2365","昆盈","53222","51","1044","861","21.25%","955","770","24.03%","0.64","1404","6.67","N","N","N","","",
"電子零組件業","2367","燿華","3221259","4478","719","593","21.25%","669","544","22.98%","2.36","994","6.57","N","N","N","","",
"電子零組件業","2368","金像電","2094181","2366","885","877","0.91%","716","682","4.99%","11.54","994","6.57","N","Y","N","本公司113年度集團合併營收創歷史新高，獲利成長主係大陸廠營運創下佳績所致，非經理人之全時員工薪資平均數，本公司採利潤中心制並合理分配員工績效獎金。","本公司採利潤中心制並合理分配員工績效獎金，且本公司在113年度整體調薪達4.05%，並無低於業界水準。",
"半導體業","2369","菱生","1306289","2213","590","588","0.34%","539","531","1.51%","-0.45","1998","19.23","N","N","N","","",
"電機機械","2371","大同","1854209","2320","799","739","8.12%","714","659","8.35%","6.46","864","3.85","N","Y","N","1、本公司2024年度之EPS獲利表現較佳，乃因合併報表內投資公司於該年度所挹注之投資損益較往年為高。
2、2024年度員工薪資平均數已較2023年度成長約8.1%，尚屬合理。","本公司已修訂公司章程第二十四條，明訂：本公司年度有獲利時，應依法提撥不低於百分之一為員工酬勞(本項員工酬勞數額之百分之五十應為基層員工分配酬勞)。",
"其他電子業","2373","震旦行","680101","882","771","749","2.94%","671","650","3.23%","4.26","1429","9.28","N","N","N","","",
"光電業","2374","佳能","564060","470","1200","1148","4.53%","1063","1090","-2.48%","1.90","1015","1.21","N","N","N","","",
"電子零組件業","2375","凱美","32325","39","829","777","6.69%","782","730","7.12%","4.55","994","6.57","N","N","N","","",
"電腦及週邊設備業","2376","技嘉","3233771","1954","1655","1232","34.33%","1020","856","19.16%","15.03","1404","6.67","N","N","N","","",
"電腦及週邊設備業","2377","微星","4413391","2913","1515","1395","8.60%","1286","1213","6.02%","8.04","1404","6.67","N","N","N","","",
"半導體業","2379","瑞昱","20687837","5284","3915","3149","24.33%","3246","2593","25.18%","29.82","1998","19.23","N","N","N","","",
"電腦及週邊設備業","2380","虹光","325747","357","912","893","2.13%","805","803","0.25%","-1.94","1404","6.67","N","N","N","","",
"電腦及週邊設備業","2382","廣達","17629578","10444","1688","1522","10.91%","1490","1291","15.41%","15.49","1404","6.67","N","N","N","","",
"電子零組件業","2383","台光電","1117485","967","1156","1070","8.04%","888","805","10.31%","27.81","994","6.57","N","N","N","","",
"電子零組件業","2385","群光","1921597","847","2269","2099","8.10%","1990","1808","10.07%","12.43","994","6.57","N","N","N","","",
"電腦及週邊設備業","2387","精元","194305","253","768","742","3.50%","679","672","1.04%","7.81","1404","6.67","N","Y","N","薪酬主要衡量員工職能與績效達成，本公司人力結構組成相較同業不盡相同，加上公司所在當地就業市場，致薪酬成本可能存在差異。","將持續致力員工薪酬結構之優化，綜合檢討調整。",
"半導體業","2388","威盛","649509","348","1866","1692","10.28%","1652","1515","9.04%","2.07","1998","19.23","N","N","N","","",
"其他電子業","2390","云辰","47290","63","751","811","-7.40%","694","760","-8.68%","-1.25","1429","9.28","N","N","N","","",
"電子零組件業","2392","正崴","1050036","887","1184","1246","-4.98%","1046","1086","-3.68%","3.65","994","6.57","N","N","Y","113年獎金發放較112年少。說明113年發放屬於112年獲利績效，112年發放屬於111年獲利績效。因公司112年屬於母公司淨利金額，低於111年屬於母公司淨利金額，所以113年平均薪資較112年減少。","公司後續仍將視營運狀況檢討、提升員工薪酬福利。",
"光電業","2393","億光","1423323","1258","1131","927","22.01%","812","735","10.48%","6.64","1015","1.21","N","N","N","","",
"電腦及週邊設備業","2395","研華","4316797","3408","1267","1232","2.84%","1104","1059","4.25%","10.45","1404","6.67","N","Y","N","1.研華長期結合經營績效與個人績效, 除發放績效獎金與現金分紅外, 另發行員工認股權證,但此認股權證價值不被證交所列入平均薪資計算
2.研華有45%員工從事營運製造, 與同業大多將製造移往海外之組織結構不同","定期參與市場薪酬調研, 審視整體薪酬於市場水準, 並主動進行調整, 保持整體薪酬競爭力",
"電腦及週邊設備業","2397","友通","515002","597","863","819","5.37%","683","644","6.06%","3.46","1404","6.67","N","N","N","","",
"電腦及週邊設備業","2399","映泰","114485","125","916","868","5.53%","797","742","7.41%","0.04","1404","6.67","N","N","N","","",
"半導體業","2401","凌陽","435646","298","1462","1421","2.89%","1243","1246","-0.24%","0.44","1998","19.23","N","N","N","","",
"電子零組件業","2402","毅嘉","105509","167","632","592","6.76%","530","493","7.51%","2.36","994","6.57","N","N","N","","",
"其他電子業","2404","漢唐","1541756","811","1901","1577","20.55%","1674","1387","20.69%","32.94","1429","9.28","N","N","N","","",
"電腦及週邊設備業","2405","輔信","154555","159","972","956","1.67%","827","807","2.48%","0.03","1404","6.67","N","N","N","","",
"光電業","2406","國碩","104218","144","724","697","3.87%","654","625","4.64%","-0.86","1015","1.21","N","N","N","","",
"半導體業","2408","南亞科","4893276","3548","1379","1220","13.03%","1111","1054","5.41%","-1.64","1998","19.23","N","N","N","","",
"光電業","2409","友達","21244468","18212","1167","1099","6.19%","892","839","6.32%","-0.40","1015","1.21","N","N","N","","",
"通信網路業","2412","中華電","32408906","20088","1613","1526","5.70%","1573","1487","5.78%","4.80","1302","3.74","N","N","N","","",
"電子零組件業","2413","環科","359994","681","529","547","-3.29%","448","467","-4.07%","-0.44","994","6.57","N","N","N","","",
"電子通路業","2414","精技","339095","368","921","875","5.26%","825","788","4.70%","2.67","1070","4.70","N","N","N","","",
"電子零組件業","2415","錩新","26116","24","1088","1020","6.67%","949","886","7.11%","1.14","994","6.57","N","N","N","","",
"電腦及週邊設備業","2417","圓剛","254404","177","1437","1157","24.20%","1380","1114","23.88%","-0.39","1404","6.67","N","N","N","","",
"通信網路業","2419","仲琦","159150","129","1234","1266","-2.53%","1110","1105","0.45%","-0.16","1302","3.74","N","N","N","","",
"電子零組件業","2420","新巨","328250","532","617","596","3.52%","544","483","12.63%","4.36","994","6.57","N","N","N","","",
"電子零組件業","2421","建準","694186","576","1205","1082","11.37%","951","876","8.56%","5.46","994","6.57","N","N","N","","",
"其他電子業","2423","固緯","420471","439","958","995","-3.72%","869","898","-3.23%","2.42","1429","9.28","N","N","N","","",
"通信網路業","2424","隴華","22748","24","948","859","10.36%","828","712","16.29%","-3.35","1302","3.74","N","N","N","","",
"電腦及週邊設備業","2425","承啟","85884","56","1534","1036","48.07%","1292","910","41.98%","1.05","1404","6.67","N","N","N","","",
"光電業","2426","鼎元","483423","737","656","569","15.29%","573","465","23.23%","0.21","1015","1.21","N","N","N","","",
"資訊服務業","2427","三商電","610335","746","818","794","3.02%","761","741","2.70%","1.43","1064","3.99","N","N","N","","",
"電子零組件業","2428","興勤","415892","489","850","815","4.29%","656","604","8.61%","12.10","994","6.57","N","Y","N","本公司員工薪酬依公司各項規章及營運狀況給予合理報酬；惟本公司直接人員占全體員工比重近5成，致使平均薪資數較同業低。","公司每年皆依據個人實績進行調薪，另外114年度因應通膨及強化員工薪酬福利，同步實施全體員工調薪。",
"光電業","2429","銘旺科","9785","16","612","437","40.05%","577","333","73.27%","-2.17","1015","1.21","N","N","N","","",
"電子通路業","2430","燦坤","1252185","1834","683","663","3.02%","643","629","2.23%","1.61","1070","4.70","N","N","N","","",
"電子零組件業","2431","聯昌","37329","37","1009","976","3.38%","890","837","6.33%","-0.63","994","6.57","N","N","N","","",
"電腦及週邊設備業","2432","倚天酷碁-創","78959","54","1462","1476","-0.95%","1207","1277","-5.48%","1.88","1404","6.67","N","N","N","","",
"其他電子業","2433","互盛電","274878","366","751","717","4.74%","689","662","4.08%","3.28","1429","9.28","N","N","N","","",
"半導體業","2434","統懋","11271","21","537","536","0.19%","498","493","1.01%","0.14","1998","19.23","N","N","N","","",
"半導體業","2436","偉詮電","361069","278","1299","1279","1.56%","1206","1202","0.33%","1.57","1998","19.23","N","N","N","","",
"光電業","2438","翔耀","4949","10","495","515","-3.88%","481","459","4.79%","-1.71","1015","1.21","Y","N","N","113年度雖因營收成長不如預期、虧損較去年增加，整體經營面臨挑戰，但公司仍重視員工薪酬公平性與市場競爭力。","非經理人之員工平均薪資雖未達既定標準，惟針對非主管員工部分，仍依薪酬委員會決議進行個別薪資調升，以兼顧激勵與永續經營。",
"通信網路業","2439","美律","883698","687","1286","1116","15.23%","917","812","12.93%","9.26","1302","3.74","N","Y","N","產業型態不盡相同，客戶、產品、技術差異甚大，營運和品牌經營各異；113年度公司營收及經營指標達成皆較前一年度成長，而員工薪酬為依據前一年度經營績效而分配之變動獎金，故整體言之，員工平均薪資仍較去年成長。","員工固定薪酬依市場水平核敘，及按消費者物價指數評估當年度的調薪；變動薪酬則與公司經營績效連結。",
"電子零組件業","2440","太空梭","13257","17","780","857","-8.98%","748","761","-1.71%","-0.43","994","6.57","N","N","Y","薪資政策
1三節獎&#63754;參考外部總體經濟環境及公司經營績效核定。
2章程第21條：本公司應以當年度稅前利益（扣除分配員工酬勞及董事酬勞前之利益）於保留彌補累積虧損數額後，如尚有餘額應提撥酬勞以獎勵員工。","雖虧損與同期大幅縮小，但已連續三年仍處於虧損狀況。
集團在經營管理階層導之下，關注外部國際情勢發展與審慎因應，提升營收與獲利，以期獲更優獎酬。",
"半導體業","2441","超豐","3335396","4023","829","737","12.48%","688","610","12.79%","4.39","1998","19.23","N","N","N","","",
"建材營造","2442","新美齊","73730","65","1134","1154","-1.73%","972","951","2.21%","1.20","974","2.65","N","N","N","","",
"通信網路業","2444","兆勁","226229","413","548","516","6.20%","469","468","0.21%","-0.24","1302","3.74","N","N","N","","",
"半導體業","2449","京元電子","5934640","6905","859","792","8.46%","696","665","4.66%","6.36","1998","19.23","N","N","N","","",
"通信網路業","2450","神腦","1211191","1823","664","632","5.06%","630","589","6.96%","1.85","1302","3.74","N","N","N","","",
"半導體業","2451","創見","745163","948","786","763","3.01%","642","618","3.88%","5.39","1998","19.23","N","N","N","","",
"資訊服務業","2453","凌群","1119920","1120","1000","998","0.20%","907","895","1.34%","3.06","1064","3.99","N","N","N","","",
"半導體業","2454","聯發科","49853653","11566","4310","3754","14.81%","3438","3094","11.12%","66.92","1998","19.23","N","N","N","","",
"通信網路業","2455","全新","298207","281","1061","900","17.89%","747","654","14.22%","3.63","1302","3.74","N","N","N","","",
"電子零組件業","2457","飛宏","449537","392","1147","1010","13.56%","947","877","7.98%","0.48","994","6.57","N","N","N","","",
"半導體業","2458","義隆","1958589","975","2009","1864","7.78%","1835","1715","7.00%","9.57","1998","19.23","N","N","N","","",
"其他電子業","2459","敦吉","57085","56","1019","1034","-1.45%","993","977","1.64%","5.32","1429","9.28","N","N","N","","",
"電子零組件業","2460","建通","71096","113","629","590","6.61%","569","524","8.59%","-1.39","994","6.57","N","N","N","","",
"其他電子業","2461","光群雷","103408","136","760","723","5.12%","661","616","7.31%","1.59","1429","9.28","N","N","N","","",
"電子零組件業","2462","良得電","51213","41","1249","1292","-3.33%","1003","1055","-4.93%","1.49","994","6.57","N","N","N","","",
"其他電子業","2464","盟立","1255724","1110","1131","1035","9.28%","922","880","4.77%","0.52","1429","9.28","N","N","N","","",
"電腦及週邊設備業","2465","麗臺","312259","331","943","876","7.65%","836","775","7.87%","-5.26","1404","6.67","N","N","N","","",
"光電業","2466","冠西電","72069","138","522","538","-2.97%","371","360","3.06%","-0.17","1015","1.21","N","N","N","","",
"電子零組件業","2467","志聖","423321","372","1138","1133","0.44%","1051","1018","3.24%","4.80","994","6.57","N","N","N","","",
"資訊服務業","2468","華經","178962","227","788","737","6.92%","643","627","2.55%","0.96","1064","3.99","N","N","N","","",
"資訊服務業","2471","資通","324377","254","1277","1264","1.03%","1158","1123","3.12%","3.33","1064","3.99","N","N","N","","",
"電子零組件業","2472","立隆電","131840","100","1318","1163","13.33%","1376","1110","23.96%","7.01","994","6.57","N","N","N","","",
