產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"生技醫療業","1777","生泰","150590","170","886","692","778","615","6.62","755","1.02","N","N","N","",
"生技醫療業","1781","合世","41253","57","724","794","695","737","-0.37","755","1.02","N","N","Y","本公司二年度員工人數及營業額並未有明顯異動，EPS提升主要是商品毛利提升所致，薪資平均數主要係新進員工到職未滿一年，按比例領取年終，所以薪資平均數較前一年度會略為下降。",
"生技醫療業","1784","訊聯","135630","166","817","753","693","668","0.80","755","1.02","N","N","N","",
"其他電子業","1785","光洋科","960052","1189","807","890","652","764","2.35","891","4.29","N","N","Y","公司EPS之增加主係因該年度有出售土地之利益，若將其出售土地之利益排除該年度EPS是下降，公司於111年度七月有全員調薪但於Q4時進行精實專案，以仍在職之員工，薪資水準仍較前一年度增加。",
"生技醫療業","1788","杏昌","257428","244","1055","1029","933","906","9.06","755","1.02","N","N","N","",
"食品工業","1796","金穎生技","152312","236","645","606","517","542","2.26","706","2.85","N","N","N","",
"生技醫療業","1799","易威","4151","6","692","706","660","665","-1.41","755","1.02","N","N","N","",
"生技醫療業","1813","寶利徠","62777","104","604","665","523","527","0.14","755","1.02","N","N","Y","營收減少，因訂單減少致產量減少，加班費同步減少所致。",
"電子零組件業","1815","富喬","608704","925","658","692","604","602","0.07","723","2.41","N","N","N","",
"鋼鐵工業","2035","唐榮公司","709311","617","1150","1586","1299","1791","-0.64","839","3.48","N","N","N","",
"電器電纜","2061","風青","1094","2","547","604","378","720","-1.57","547","-1.57","N","N","N","",
"鋼鐵工業","2063","世鎧","176887","267","662","594","597","554","4.91","839","3.48","N","Y","N","世鎧公司111年度調薪幅度3%-5%，隨111年公司獲利增加，年終獎金發放金額調升8%以上，員工酬勞金額較前一年度增加140%以上，故本公司隨著經營績效提升亦調增員工薪酬，調增的幅度適當且合理。",
"鋼鐵工業","2064","晉椿","110881","194","572","637","524","571","1.14","839","3.48","N","N","N","",
"鋼鐵工業","2065","世豐","192862","278","694","728","592","608","6.95","839","3.48","N","Y","Y","111年非經理人3人晉升經理人，致員工薪資平均數減少4.67%，實際維持110年相同水準，尚屬合理。",
"電機機械","2066","世德","98368","187","526","474","492","427","8.05","688","2.36","N","Y","N","111年度營收及獲利較110年度增加，雖獲利高於同業平均，員工績效部分有加發獎金，加上本公司後段製程屬勞力密集，需大量基層員工(含外籍移工)，導致拉低平均薪資，薪資水準尚屬合理。",
"電機機械","2067","嘉鋼","91179","166","549","524","509","491","-0.62","688","2.36","N","N","N","",
"電機機械","2070","精湛","70625","103","686","640","626","590","2.32","688","2.36","N","N","N","",
"其他","2221","大甲","145448","219","664","641","554","534","6.34","687","2.00","N","Y","N","本公司111年獲利較110年成長，員工經常性及非經常性薪資皆同步增加，未來年度仍會依整體經營績效而持續做相關調整，且公司非台籍員工比重較高，亦導致平均薪資拉低，若排除非台籍員工則可達約88萬。",
"電機機械","2230","泰茂","41390","87","476","501","453","485","3.17","688","2.36","Y","Y","Y","1.外籍員工、現場作業員(包裝、生管、品管)佔公司人數50%，月薪約25,250元至26,250元(含)以下，拉低平均薪資。	 	 	 
2.EPS 3.17元扣除轉投資利益(拆遷補償款)後為每股虧損0.68元，EPS為虧損。",
"電機機械","2235","謚源","99029","194","510","492","461","453","4.59","688","2.36","N","Y","N","111年度約有50%獲利為未實現匯兌收益，扣除未實現的匯兌收益，EPS與同業相當。本公司非高科技，技術性低員工約佔87%，另23%員工，其年薪較高超過50萬的研發人員僅9人，餘為年薪低於50萬的行政人員，故低於同業水準。",
"建材營造","2596","綠意","6756","9","751","706","786","733","0.58","937","0.75","N","N","N","",
"數位雲端","2640","大車隊","216563","330","656","623","510","500","6.00","769","4.60","N","Y","N","關於EPS高於同業平均數惟非經理人全時員工薪資平均數低於同業水準，乃因公司經營業務項目有將近3成員工屬基層作業員性質，其薪資趨近於基本薪資，因此平均數值較低，以上說明，謝謝。",
"航運業","2641","正德","54736","40","1368","954","895","818","6.23","1091","8.41","N","N","N","",
"航運業","2643","捷迅","52216","73","715","642","616","544","16.68","1091","8.41","N","Y","N","本公司雖屬航運業，但以物流相關服務為主軸，因經營模式、市場規模及行業屬性的不同，薪酬行情本不應與航空及海運比較。本公司平均薪酬水準屬同業市場行情，每年定期調薪及獎酬以凝聚員工之向心力。",
"建材營造","2718","晶悅","10608","12","884","766","720","713","-0.57","937","0.75","N","N","N","",
"觀光餐旅","2719","燦星旅","19503","46","424","480","370","424","-1.16","549","0.33","Y","N","Y","因110年僅有11、12月參與【充電再出發專案】，而111年每月均參與【充電再出發專案】；故110年平均員工總減少工時24小時；111年平均員工總減少工時80小時；因此平均薪資未達50萬元且非經理人全時員工薪資平均數衰退。",
"觀光餐旅","2729","瓦城","707615","1173","603","558","547","507","3.62","549","0.33","N","N","N","",
"觀光餐旅","2732","六角","124142","207","600","502","495","435","6.56","549","0.33","N","N","N","",
"觀光餐旅","2734","易飛網","49125","96","512","334","452","296","-1.26","549","0.33","N","N","N","",
"觀光餐旅","2736","富野","76036","188","404","372","360","335","0.24","549","0.33","Y","N","N","主要係因飯店業人力結構以基層員工為主,加以缺工潮以臨時員工補充人力缺口,故整體薪資平均數較低.",
"觀光餐旅","2740","天蔥","14796","33","448","376","449","356","-3.34","549","0.33","Y","N","N","本公司係屬餐飲業，就現況公司雖已較以往年度提高薪資水準進行招募與留才，但原產業性質人員本身流動率已較其他行業偏高，故公司員工整體較年輕、年資較淺等薪資結構因素，致平均薪資略低於50萬元。",
"觀光餐旅","2743","山富","68057","173","393","343","350","318","-1.99","549","0.33","Y","N","N","前三季旅遊業仍受新冠肺炎疫情影響，配合政府防疫政策，暫停出境旅遊業務改以國內旅遊為主。而業務人員因營業額減少連帶影響使業績獎金減少。公司亦配合實施勞動部「安心就業計畫」減班休息。",
"觀光餐旅","2745","五福","77373","208","372","347","354","336","-2.59","549","0.33","Y","N","N","本公司基層勞力以業務人員為主，每月薪資約50%來自業績&#22892;金，受疫情影響營運以國內旅遊商品為主，其利潤較低影響業績&#22892;金，且配合勞動部「安心就業計畫」減班休息，依此，影響整體薪資。",
"觀光餐旅","2752","豆府","345634","636","543","499","494","455","10.36","549","0.33","N","Y","N","因疫情影響離職率增加且為展店需求，2022年招募較多新進員工，惟本公司較去年度非經理人之全時員工薪資平均數增加約8.8%，成長幅度與同業平均相當。",
"觀光餐旅","2754","亞洲藏壽司","273605","422","648","548","457","414","5.21","549","0.33","N","N","N","",
"觀光餐旅","2755","揚秦","166551","265","628","537","534","466","5.25","549","0.33","N","N","N","",
"觀光餐旅","2756","聯發國際","62698","88","712","0","612","0","7.12","549","0.33","N","N","N","",
"居家生活","2916","滿心","274889","546","503","491","445","431","3.29","642","6.68","N","N","N","",
"文化創意業","2926","誠品生活","705678","982","719","688","570","538","-3.97","1105","6.32","N","N","N","",
"居家生活","2937","集雅社","247801","343","722","696","606","592","3.80","642","6.68","N","N","N","",
"居家生活","2947","振宇五金","262054","567","462","450","422","414","3.47","642","6.68","Y","N","N","本公司屬於零售業形態，本公司基層人員人數占比較高，招募對象多元開放，主要重視人員的學習態度與工作配合度；因應111年度展店數，晉用較多新進人員與社會新鮮人進行培訓，影響整體平均薪資。",
"文化創意業","3064","泰偉","77181","111","695","786","636","654","-3.47","1105","6.32","N","N","N","",
"光電業","3066","李洲","19059","35","545","576","485","562","2.77","838","3.27","N","N","Y","111年度新進員工數較多，本年度符合申報範圍之非經理人全時員工人數計39人，其中有9名在職未滿10個月，致員工年薪中位數均值(中位數485,302)下降。",
"其他電子業","3067","全域","6763","11","615","602","606","572","-0.35","891","4.29","N","N","N","",
"電腦及週邊設備業","3071","協禧","105602","138","765","795","667","698","2.08","890","5.09","N","N","Y","1.111年獲利增加係下半年新增轉投資公司帶來之效益。
2.本年發放員工股份基礎給付增加，但依規定不列入平均薪資，另部份資深員工離職，考慮年輕化公司組織，招聘年輕員工，故非經理人之全時員工薪資平均數減少。",
"綠能環保","3073","天方能源","7672","11","697","586","695","583","0.91","857","4.48","N","N","N","",
"電子零組件業","3078","僑威","118934","120","991","1060","792","855","3.13","723","2.41","N","N","N","",
"通信網路業","3081","聯亞","316395","314","1008","906","842","821","3.61","879","2.74","N","N","N","",
"文化創意業","3083","網龍","166143","216","769","756","623","619","-0.26","1105","6.32","N","N","N","",
"數位雲端","3085","新零售","5855","11","532","556","504","454","-0.79","769","4.60","N","N","N","",
"文化創意業","3086","華義","28150","52","541","563","493","521","1.65","1105","6.32","N","N","N","",
"電腦及週邊設備業","3088","艾訊","613535","560","1096","990","983","866","6.66","890","5.09","N","N","N","",
"電子零組件業","3089","億杰","11880","17","699","649","593","642","-3.61","723","2.41","N","N","N","",
"其他電子業","3093","港建*","145215","124","1171","948","1090","900","3.30","891","4.29","N","N","N","",
"通信網路業","3095","及成","80627","125","645","728","537","654","-3.20","879","2.74","N","N","N","",
"半導體業","3105","穩懋","2824942","3398","831","1128","683","926","4.25","1299","7.47","N","N","N","",
"電子零組件業","3114","好德","62613","55","1138","1004","924","848","3.33","723","2.41","N","N","N","",
"電子零組件業","3115","富榮綱","4542","6","757","602","516","622","-0.34","723","2.41","N","N","N","",
"生技醫療業","3118","進階","89659","107","838","868","705","772","1.80","755","1.02","N","N","N","",
"半導體業","3122","笙泉","78089","59","1324","1259","1224","1161","0.45","1299","7.47","N","N","N","",
"光電業","3128","昇銳","177126","276","642","646","556","555","1.80","838","3.27","N","N","Y","主要原因：本公司為安控產品製造廠，因應公司訂單成長，直接生產之基層人力增加，因直接人力薪資低於本公司薪資平均數，因此影響非擔任主管職務之全時員工平均薪資，然二年度的差異不大。",
"其他電子業","3131","弘塑","288433","169","1707","1674","1660","1607","25.32","891","4.29","N","N","N","",
"半導體業","3141","晶宏","213695","129","1657","1420","1489","1351","7.01","1299","7.47","N","N","N","",
"資訊服務業","3147","大綜","208645","239","873","850","633","603","6.88","926","3.59","N","Y","N","大綜產業類別歸屬資訊服務業，以經營類別粗略再分成軟體資訊服務及硬體資訊服務。於營業毛利率及軟體工程師和硬體工程師薪資水平是明顯差異，統計是依同業平均數相較，故產生如此之落差。",
"通信網路業","3152","璟德","196984","311","633","797","528","537","3.99","879","2.74","N","Y","N","本公司產品特性為少量多樣，故需要投入一定比例之工廠產線人力。111年公司直接人工(包含外籍移工)佔比逾5成，致使員工薪資平均數低於同業水準。",
"電機機械","3162","精確","12461","23","542","542","448","496","-1.86","688","2.36","N","N","N","",
"通信網路業","3163","波若威","129751","136","954","877","761","748","6.00","879","2.74","N","N","N","",
"半導體業","3169","亞信","149481","61","2451","2176","1862","1627","6.66","1299","7.47","N","N","N","",
"居家生活","3171","新洲","149903","170","882","873","483","459","1.83","642","6.68","N","N","N","",
"生技醫療業","3176","基亞","35506","39","910","1008","796","794","-4.86","755","1.02","N","N","N","",
"半導體業","3178","公準","441307","729","605","559","529","484","5.01","1299","7.47","N","N","N","1.本公司產業型態屬傳統機械加工，製程之操作設備自動化程度高，多數從業員工為操作人員(本國籍勞工操作人員最低薪資為28,000元)所致。

2.本公司在晶圓產品鏈中屬設備之機械加工產業，較晶圓產品其附加價值較低。",
"建材營造","3188","鑫龍騰","14000","16","875","1076","707","870","0.61","937","0.75","N","N","N","",
"電子零組件業","3191","和進","2053","4","513","566","581","567","-0.19","723","2.41","N","N","Y","本公司110年員工人數3人，平均薪資566仟元，111年員工新增1人，該員工6月到職，依實際工作日數比例計算應為3.58人，平均薪資為573仟元，高於110年，但因系統無法精確填入3.58人，故計算出不合理的平均薪資513仟元。",
"電子零組件業","3202","樺晟","39023","62","629","652","552","569","-0.52","723","2.41","N","N","N","",
"生技醫療業","3205","佰研","39070","65","601","580","546","484","-2.28","755","1.02","N","N","N","",
"電子零組件業","3206","志豐","56618","54","1048","958","1008","927","3.60","723","2.41","N","N","N","",
"電子零組件業","3207","耀勝","17087","18","949","712","832","571","4.32","723","2.41","N","N","N","",
"電腦及週邊設備業","3211","順達","259797","224","1160","1250","1110","1139","5.33","890","5.09","N","N","N","",
"電腦及週邊設備業","3213","茂訊","207004","281","737","761","649","667","3.89","890","5.09","N","N","N","",
"電子零組件業","3217","優群","109890","102","1077","1173","904","939","6.80","723","2.41","N","N","N","",
"生技醫療業","3218","大學光","266142","248","1073","934","864","763","10.64","755","1.02","N","N","N","",
"其他電子業","3219","倚強科","92926","62","1499","2243","1011","1369","2.17","891","4.29","N","N","N","",
"通信網路業","3221","台嘉碩","306718","467","657","600","547","523","3.18","879","2.74","N","Y","N","1.111年度營業淨利，已依公司相關規範，通過員工酬勞案於112年進行發放。
2.111年度查核母體薪資結構(明細如下)，產線基礎人員薪資佔比較高，故全體薪資平均數相較同產業公司較低。",
"電子通路業","3224","三顧","60944","79","771","769","643","635","-0.17","814","1.29","N","N","N","",
"電機機械","3226","至寶電","93211","188","496","516","437","447","4.95","688","2.36","Y","Y","Y","營運績效：110年度違章稅額及罰鍰致EPS減少，又今年因外幣兌換利益增加。
薪資較低：
1.基層員工占比高，產線未有輪班制度，故無相關津貼加給獎金。
2.今年較上年度的加班情形少，且確診請假的員工較上年度增加。",
"半導體業","3227","原相","1273852","505","2522","2915","2321","2568","7.41","1299","7.47","N","N","N","",
"半導體業","3228","金麗科","99301","57","1742","1615","1344","1312","0.53","1299","7.47","N","N","N","",
"光電業","3230","錦明","33372","50","667","616","594","565","-1.85","838","3.27","N","N","N","",
"電子通路業","3232","昱捷","29913","40","748","797","641","645","0.39","814","1.29","N","N","N","",
"通信網路業","3234","光環","233547","309","756","747","654","644","-0.34","879","2.74","N","N","N","",
"電子零組件業","3236","千如","159448","208","767","685","587","571","2.24","723","2.41","N","N","N","",
"觀光餐旅","3252","海灣","3600","9","400","390","420","396","0.09","549","0.33","Y","N","N","因公司目前處於轉型成長期間，薪資結構尚未調整。",
"半導體業","3259","鑫創","120267","113","1064","1041","997","964","-2.10","1299","7.47","N","N","N","",
"半導體業","3260","威剛","803645","619","1298","1412","1066","1138","3.19","1299","7.47","N","N","N","",
"半導體業","3264","欣銓","1807748","1503","1203","1044","944","836","7.48","1299","7.47","N","Y","N","1.半導體業含IC設計、晶圓製造及封裝測試，員工結構差異致平均薪資不盡具可比較性；欣銓為測試公司，直接人力約佔四成，致平均薪資相對較低。
2.獲利與員工共享，每年調薪，111年薪資平均數及中位數，均有所成長。",
"半導體業","3265","台星科","325612","335","972","849","768","712","6.73","1299","7.47","N","N","N","",
"半導體業","3268","海德威","24421","33","740","731","658","625","1.53","1299","7.47","N","N","N","",
"電腦及週邊設備業","3272","東碩","225552","300","752","621","607","549","4.18","890","5.09","N","N","N","",
"電子零組件業","3276","宇環","3078","3","1026","1389","1029","1409","0.87","723","2.41","N","N","N","",
"其他","3284","太普高","43242","79","547","519","513","471","0.46","687","2.00","N","N","N","",
"其他電子業","3285","微端","31231","50","625","608","544","538","-0.46","891","4.29","N","N","N","",
"電腦及週邊設備業","3287","廣寰科","5775","8","722","689","499","543","0.02","890","5.09","N","N","N","",
"電子零組件業","3288","點晶","10939","13","841","857","439","451","0.19","723","2.41","N","N","Y","有兩位高薪非經理人離職",
"其他電子業","3289","宜特","814086","833","977","901","871","814","5.33","891","4.29","N","N","N","",
"電子零組件業","3290","東浦","44412","72","617","673","480","519","1.17","723","2.41","N","N","Y","本公司111年度因訂單需求成長，增聘作業員，故總體員工薪資總額增加，惟增員屬基層員工，相對其薪資較低，故薪資平均數較110年度減少。",
"文化創意業","3293","鈊象","2609929","1026","2544","2388","2027","1924","38.88","1105","6.32","N","N","N","",
"電子零組件業","3294","英濟","248639","319","779","882","626","702","-1.20","723","2.41","N","N","N","",
"光電業","3297","杭特","78160","133","588","581","489","491","0.11","838","3.27","N","N","N","",
"其他電子業","3303","岱稜","327158","443","739","733","645","659","2.91","891","4.29","N","N","N","",
"通信網路業","3306","鼎天","108555","110","987","1044","878","890","0.25","879","2.74","N","N","N","",
"電子零組件業","3310","佳穎","50759","81","627","620","525","531","2.52","723","2.41","N","Y","N","本公司雖平均薪資與同業有所落差，但較去年有所成長，且造成落差之原因主要係非擔任主管職務之員工以直接人力為主，約佔全員50%所致。",
"其他","3313","斐成","11281","13","868","491","629","478","-1.46","687","2.00","N","N","N","",
"半導體業","3317","尼克森","183357","121","1515","1471","1215","1084","7.08","1299","7.47","N","N","N","",
"電子零組件業","3322","建舜電","49519","54","917","977","746","860","1.45","723","2.41","N","N","N","",
"電腦及週邊設備業","3323","加百裕","246580","334","738","731","526","515","2.75","890","5.09","N","N","N","",
"其他電子業","3324","雙鴻","195247","160","1220","1150","1071","1075","14.68","891","4.29","N","N","N","",
"電腦及週邊設備業","3325","旭品","13729","25","549","815","516","755","-0.90","890","5.09","N","N","N","",
"電子零組件業","3332","幸康","214163","266","805","673","703","560","4.56","723","2.41","N","N","N","",
"光電業","3339","泰谷","86041","173","497","541","423","461","-0.47","838","3.27","Y","N","N","LED市場需求下修，為永續經營及維持其競爭力，故調節產能稼動以致影響整體員工薪酬。",
"電腦及週邊設備業","3349","寶德","41147","47","875","853","792","774","-1.30","890","5.09","N","N","N","",
"電子零組件業","3354","律勝","34277","59","581","592","486","471","-0.30","723","2.41","N","N","Y","公司為科技業,著重新產品開發,近年疫情及景氣影響,獲利下降,公司為留住關鍵員工,提供留才獎金.
111年EPS較110年增加,但因110年留才獎金較111年高,故110年平均數較111年高,而111年因考量持續虧損,故酌減留才的獎金.",
"電子零組件業","3357","臺慶科","405213","508","798","918","663","788","10.11","723","2.41","N","N","N","",
"電子通路業","3360","尚立","54772","57","961","1013","955","922","0.32","814","1.29","N","N","N","",
"光電業","3362","先進光","351635","612","575","557","513","487","3.05","838","3.27","N","N","N","",
"通信網路業","3363","上詮","135797","226","601","601","469","466","0.53","879","2.74","N","N","N","",
"半導體業","3372","典範","259623","430","604","690","517","595","0.49","1299","7.47","N","N","N","",
"其他電子業","3373","熱映","58710","69","851","588","768","537","0.66","891","4.29","N","N","N","",
"半導體業","3374","精材","1478078","1435","1030","934","736","679","7.31","1299","7.47","N","N","N","",
"電機機械","3379","彬台","45554","61","747","771","682","715","-0.55","688","2.36","N","N","N","",
"電子零組件業","3388","崇越電","140115","101","1387","1402","1336","1318","6.30","723","2.41","N","N","N","",
"電子零組件業","3390","旭軟","157949","284","556","512","488","464","1.13","723","2.41","N","N","N","",
"其他電子業","3402","漢科","350915","449","782","811","624","671","5.28","891","4.29","N","Y","Y","因業務需求增加，擴充服務量能，需補進大量人力並以基礎工程師為主，致平均薪資較前一年度減少。",
"電機機械","3426","台興","33898","56","605","598","512","487","2.83","688","2.36","N","Y","N","111年員工56人，其中本外籍作業員占43%，其薪資水準接近基本工資，故整體薪資較同業為低。",
"化學工業","3430","奇鈦科","97607","113","864","0","806","0","6.33","747","1.50","N","N","N","",
"光電業","3434","哲固","70638","103","686","628","594","562","1.68","838","3.27","N","N","N","",
"半導體業","3438","類比科","205606","124","1658","1747","1494","1544","2.29","1299","7.47","N","N","N","",
"光電業","3441","聯一光電","10663","18","592","582","579","577","2.52","838","3.27","N","N","N","",
"電子通路業","3444","利機","56931","52","1095","1060","1023","915","5.01","814","1.29","N","N","N","",
"光電業","3455","由田","375330","306","1227","1211","1056","1013","12.55","838","3.27","N","N","N","",
"電子零組件業","3465","進泰電子","16039","19","844","1252","678","900","3.43","723","2.41","N","N","N","",
"通信網路業","3466","致振","20066","30","669","741","622","702","0.07","879","2.74","N","N","Y","111年度非擔任主管職務之全時員工人數較前一年度少,而當年度任職未滿6個月以上之員工人數雖較前一年度增加但員工之薪資增幅仍低於111年度非擔任主管職務之全時員工減幅,致使薪資中位數仍較去年度為低.",
"電腦及週邊設備業","3479","安勤","329314","284","1160","955","997","856","7.90","890","5.09","N","N","N","",
"電腦及週邊設備業","3483","力致","123483","146","846","778","774","728","6.40","890","5.09","N","Y","N","111年員工平均年資為5.85年，相較於110年員工平均年資為6.12年為低，在員工流動率高下，雖然EPS較高，因平均年資降低，薪資基礎計算以及所領的員工酬勞也較低所致。",
"電子零組件業","3484","崧騰","198968","204","975","1111","827","927","5.07","723","2.41","N","N","N","",
"建材營造","3489","森寶","22843","23","993","884","880","824","0.29","937","0.75","N","N","N","",
"光電業","3490","單井","95057","109","872","895","675","774","2.11","838","3.27","N","N","N","",
"通信網路業","3491","昇達科","174118","239","729","712","625","623","4.36","879","2.74","N","Y","N","本公司屬少量多樣的產業特性，超過44%為工廠產線員工，且當中有26%為外籍移工，因而相對拉低員工平均薪資，且左開金額未包含非現金給付之獎酬，綜合而言，本公司非主管職員工之整體薪資福利應未低於同業平均。",
"電子零組件業","3492","長盛","37296","42","888","811","911","776","1.45","723","2.41","N","N","N","",
"其他電子業","3498","陽程","269489","319","845","794","711","718","1.68","891","4.29","N","N","N","",
"通信網路業","3499","環天科","70436","130","542","543","488","468","-0.07","879","2.74","N","N","Y","111年度每股虧損金額雖較110年度減少，仍在虧損階段，無多發獎金或紅利，均僅基本保障年薪。然111年度薪資平均數較110年度微幅減少，主因111年度薪資水準相對較低之生產線直接間接作業人員佔比提高所致。",
"其他電子業","3508","位速","59413","92","646","657","474","517","-2.04","891","4.29","N","N","N","",
"電子零組件業","3511","矽瑪","46113","50","922","881","765","851","3.12","723","2.41","N","N","N","",
"建材營造","3512","皇龍","23897","24","996","1060","957","1055","3.88","937","0.75","N","N","Y","本公司111年9月1日起正常調薪，平均調薪2.72%。但考量營建業受市場及政策不確定因素影響增加，111年度員工紅利有略為調降。",
"光電業","3516","亞帝歐","33651","65","518","518","435","436","1.10","838","3.27","N","N","N","",
"電子零組件業","3520","華盈","12042","17","708","672","643","586","1.49","723","2.41","N","N","N","",
"電腦及週邊設備業","3521","鴻翊","37910","57","665","608","585","539","-1.70","890","5.09","N","N","N","",
"觀光餐旅","3522","御頂","123827","215","576","482","515","435","-2.46","549","0.33","N","N","N","",
"光電業","3523","迎輝","45107","76","594","581","555","535","-2.01","838","3.27","N","N","N","",
"電子零組件業","3526","凡甲","106250","73","1455","1394","1291","1227","9.41","723","2.41","N","N","N","",
"半導體業","3527","聚積","374896","231","1623","1925","1348","1566","6.44","1299","7.47","N","N","N","",
"半導體業","3529","力旺","766109","259","2958","2507","2689","2287","21.61","1299","7.47","N","N","N","",
"光電業","3531","先益","83759","105","798","790","682","662","3.02","838","3.27","N","N","N","",
"電子零組件業","3537","堡達","48851","47","1039","1019","947","921","4.42","723","2.41","N","N","N","",
"電腦及週邊設備業","3540","曜越","139712","178","785","939","652","793","0.43","890","5.09","N","N","N","",
"其他電子業","3541","西柏","313900","342","918","792","707","648","5.32","891","4.29","N","N","N","",
"文化創意業","3546","宇峻","417280","471","886","893","780","779","6.72","1105","6.32","N","Y","Y","文創產業裡有不同類別公司，人力結構也不一樣，員工平均薪資不能全面衡量公司經營績效與員工薪酬的相關性。
另111年公司人數較前一年度增加12.68%，故每人薪資平均數略減。",
"電子零組件業","3548","兆利","298331","489","610","580","447","493","7.88","723","2.41","N","Y","N","本公司111年EPS表現有部份為匯兌獲利，另人力於該年屆離退比例較高，人力結構改以新進人力培育養成，以上為差異主因。",
"綠能環保","3551","世禾","526964","706","746","694","633","588","6.40","857","4.48","N","Y","N","世禾雇用30.71%外籍員工，影響平均薪資水準。依勞動部統計查詢網製造業統計資料計算，最近年度每人每月平均薪資為42,191元，而世禾每人每月平均薪資為62,201元，較台灣其他製造業經常薪資高，故屬合理範圍。",
"其他電子業","3552","同致","195649","271","722","620","611","506","7.22","891","4.29","N","Y","N","111年非經理人之全時員工薪資平均數低於同業水準，主要原因為直接員工占比高，影響整體員工平均薪資，且EPS含轉投資子公司之獲利。",
"半導體業","3555","博士旺","14692","16","918","825","788","796","-4.27","1299","7.47","N","N","N","",
"半導體業","3556","禾瑞亞","237090","160","1482","1517","1148","1233","5.12","1299","7.47","N","N","N","",
