產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-110年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-111年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-110年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
"農業科技","1240","茂生農經","67869","100","679","702","577","570","0.14","657","2.37","N","N","N","",
"觀光餐旅","1259","安心","572696","950","603","561","548","516","4.02","549","0.33","N","N","N","",
"食品工業","1264","德麥","228598","275","831","768","704","694","17.09","706","2.85","N","N","N","",
"觀光餐旅","1268","漢來美食","732776","1333","550","524","462","447","3.08","549","0.33","N","N","N","",
"電子零組件業","1336","台翰","9116","12","760","1306","591","828","2.05","723","2.41","N","N","Y","1.2020年處分新北市不動產利益219,846仟元一次性入帳，提撥較多員工酬勞於2021年發放；及2021年因公司搬遷，無法配合搬遷的員工，公司進行從優資遣方案 2.2021年公司搬遷，重新聘僱半數以上新員工，致薪資平均數較低",
"生技醫療業","1565","精華","1864654","2739","681","672","633","634","20.21","755","1.02","N","Y","N","本公司111年大多數員工為生產線直接人員，佔公司的64%，外勞佔20%，故擔任非擔任主管職務之全時員工薪資平均數低於同業水準。",
"電腦及週邊設備業","1569","濱川","22130","32","692","656","638","612","3.23","890","5.09","N","N","N","",
"電機機械","1570","力肯","63915","118","542","554","423","428","2.10","688","2.36","N","N","N","",
"電機機械","1580","新麥","65231","69","945","1018","913","939","6.70","688","2.36","N","N","N","",
"其他","1584","精剛","84626","123","688","624","634","580","1.12","687","2.00","N","N","N","",
"電機機械","1586","和勤","118190","221","535","642","476","571","0.53","688","2.36","N","N","N","",
"運動休閒","1593","祺驊","76838","124","620","661","475","517","5.24","752","7.97","N","N","Y","111年稅後淨利雖超過110年，但其中業外收入 - 處分投資利益，即有98,872仟元，此係屬一次性認列的收入。本業的獲利不及110年度，故111年度惟非經理人之全時員工薪資平均數，會較110年度減少，尚屬合理。",
"電子零組件業","1595","川寶","50101","72","696","909","597","759","4.85","723","2.41","N","Y","Y","111年度EPS高於同業，主要來自子公司投資收益約2.15億；而本業部份因營業收入大幅衰退，估列之員工紅利減少，致111年度員工薪資平均數較前一年衰退。",
"電機機械","1599","宏佳騰","213702","384","557","503","515","481","3.76","688","2.36","N","Y","N","基礎作業員技術含量不高且鄰近科技園區資深人力流失致平均數相較低同業，111年非主管調薪平均5.8%同時開辦員工持股信託以提升員薪資水準，未來將檢視增加員工福利以提升員工薪資。",
"化學工業","1742","台蠟","12416","24","517","624","497","513","-1.34","747","1.50","N","N","N","",
