產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"生技醫療業","1777","生泰","192840","212","910","959","-5.11%","835","889","-6.07%","5.87","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","1781","合世","36631","47","779","769","1.30%","721","710","1.55%","-1.30","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","1784","訊聯","150333","164","917","888","3.27%","784","714","9.80%","1.02","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"其他電子業","1785","光洋科","1031249","1130","913","927","-1.51%","707","714","-0.98%","3.14","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","975","4.62","N","N","N","","",
"生技醫療業","1788","杏昌","315202","299","1054","1091","-3.39%","900","916","-1.75%","8.28","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","Y","本公司薪資以年資、學經歷與專業能力為核薪標準，另獎金係依據員工、部門目標達成率及公司獲利狀況，計算員工之獎金。員工獎金好壞原則上會與公司經營績效好壞有關，但同時會因個人及部門目標達成率不同而有差異","本公司非擔任主管職務員工人數在114年較113年新增34人，新聘人員多無太多工作經驗，故薪資平均數略為下滑。本公司薪酬制度目標是優於同業水平的薪酬，會檢視薪酬制度合理性，確保同仁薪水在公司獲利增加時能同步成長",
"食品工業","1796","金穎生技","186710","278","672","617","8.91%","625","584","7.02%","0.70","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","3.60","N","N","N","","",
"生技醫療業","1799","易威","4890","7","699","713","-1.96%","688","662","3.93%","-0.59","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","Y","因部分人員派駐海外子公司，該派駐人員主要薪資調整至海外子公司支付，致使公司平均薪資相較前年減少。","本公司將繼續提升營運績效，提高員工薪酬。",
"生技醫療業","1813","寶利徠","50111","80","626","624","0.32%","505","528","-4.36%","-1.03","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"電子零組件業","1815","富喬","822444","1030","798","727","9.77%","710","699","1.57%","1.64","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"鋼鐵工業","2035","唐榮公司","638203","619","1031","1173","-12.11%","870","1229","-29.21%","-4.72","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","756","0.99","N","N","N","","",
