產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-113年,員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-114年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-113年,員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工資訊-每股盈餘(元/股),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-平均數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-男性員工薪資-中位數調整變動情形(%),非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-114年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數(仟元)-113年,非擔任主管職務之全時員工性別薪資資訊-女性員工薪資-中位數調整變動情形(%),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明,薪資統計情形-具體改善措施說明
"半導體業","3567","逸昌","77188","127","608","609","-0.16%","540","521","3.65%","1.06","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1400","5.37","N","N","N","","",
"資訊服務業","3570","大塚","186457","169","1103","1074","2.70%","877","878","-0.11%","13.95","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1016","3.17","N","N","N","","",
"電腦及週邊設備業","3577","泓格","299543","351","853","795","7.30%","713","655","8.86%","2.37","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","N","N","","",
"其他電子業","3580","友威科","79724","102","782","806","-2.98%","662","675","-1.93%","1.94","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","975","4.62","N","N","N","","",
"半導體業","3581","博磊","95751","102","939","917","2.40%","847","791","7.08%","0.81","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1400","5.37","N","N","N","","",
"其他電子業","3587","閎康","951498","822","1158","1143","1.31%","1069","1054","1.42%","6.10","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","975","4.62","N","N","N","","",
"電腦及週邊設備業","3594","磐儀","144291","177","815","793","2.77%","688","681","1.03%","0.49","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","N","N","","",
"電子零組件業","3597","映興","72808","130","560","531","5.46%","492","492","0.00%","0.34","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"電子零組件業","3609","三一東林","23936","31","772","706","9.35%","688","640","7.50%","6.42","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","Y","N","本公司114年度EPS優於前期，主要係當期處份土地及廠房產生高額業外利益所致，實際營運本業上仍屬虧損。
平均薪資雖不及同業水準，但較前一年度成長約9%。","將持續增加經營績效，以便提高員工獎酬及士氣。",
"電腦及週邊設備業","3611","鼎翰","309884","327","948","824","15.05%","753","648","16.20%","19.63","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","N","N","","",
"光電業","3615","安可","61144","63","971","872","11.35%","687","609","12.81%","0.82","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.40","N","N","N","","",
"光電業","3623","富晶通","59195","93","637","632","0.79%","568","540","5.19%","-0.16","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.40","N","N","N","","",
"電子零組件業","3624","光頡","528095","752","702","685","2.48%","618","584","5.82%","1.86","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"電腦及週邊設備業","3625","西勝","93777","114","823","836","-1.56%","742","704","5.40%","-0.60","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","N","Y","114年度平均薪資下降，主要係因公司組織擴編及基層人力增加所致，並非既有員工薪資大幅減少。","未來公司將持續透過營運改善、人才培育、績效獎勵及薪資制度優化等措施，逐步提升員工整體薪酬與福利水準。",
"其他電子業","3628","盈正","284675","324","879","817","7.59%","789","724","8.98%","4.02","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","975","4.62","N","N","N","","",
"文化創意業","3629","地心引力","4937","8","617","641","-3.74%","571","550","3.82%","-0.65","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1438","7.43","N","N","Y","114年下半年，本公司組織及人力結構有所調整，致非主管員工平均薪資由641千元降至617千元；惟非主管員工薪資中位數由550千元提升至571千元，顯示多數員工薪資水準仍呈成長趨勢。","本公司將持續依營運成果檢討薪酬制度，透過調薪、績效獎金及員工酬勞等機制，逐步提升員工薪酬並與公司經營成果共享。",
"光電業","3630","新鉅科","125166","138","907","822","10.34%","800","721","10.96%","1.86","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.40","N","N","N","","",
"電子零組件業","3631","晟楠","873","2","437","607","-28.01%","498","538","-7.43%","-0.70","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","Y","N","N","本公司&#63886;&#64001;如有獲&#63965;，應提撥（一）員工酬勞百分之六；（二）董事酬勞不高於百分之五；但公司尚有累積虧損時，應預先保留彌補數額。","114年度非經理人之全時員工(年度)薪資平均數未達50萬元主要原因為人員離職, 空窗期期間未支付薪資所造成。

擬透過就業服務站聘僱待業員工，縮短因員工離職造成空窗期。",
"通信網路業","3632","研勤","28825","33","873","919","-5.01%","718","721","-0.42%","-0.38","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.29","N","N","N","","",
"電子零組件業","3646","艾恩特","5100","8","638","918","-30.50%","704","1026","-31.38%","0.56","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"其他電子業","3663","鑫科","142452","194","734","726","1.10%","715","709","0.85%","-0.08","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","975","4.62","N","N","N","","",
"光電業","3666","光耀","88660","143","620","583","6.35%","559","531","5.27%","-3.45","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.40","N","N","N","","",
"通信網路業","3672","康聯訊","68680","82","838","858","-2.33%","715","714","0.14%","-2.25","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.29","N","N","N","","",
"半導體業","3675","德微","164474","224","734","710","3.38%","598","613","-2.45%","2.67","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1400","5.37","N","N","N","","",
"半導體業","3680","家登","667668","620","1077","1040","3.56%","831","877","-5.25%","9.43","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1400","5.37","N","Y","N","本公司人力結構以製造及技術人力為主，與部分半導體同業之人才組成有所差異；另公司採多元獎酬機制，公開申報數據主要反映現金薪酬，未能完整呈現整體報酬及績效連結情形。","本年度已執行5%以上之調薪預算，持續提升固定薪資及整體獎酬競爭力；另延續成家買房計畫後，今年再推動結婚禮金最高50萬元及0至6歲育兒津貼等措施，強化員工照顧與人才留任。",
"通信網路業","3684","榮昌","68468","87","787","682","15.40%","590","553","6.69%","3.50","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.29","N","Y","N","因本公司秉持根留台灣並持續投資高階產品產線，故製造部人員佔比達35%，且異動頻繁平均薪資水準偏低，因而使公司非經理人之薪資水準平均數低於同業水準。","本公司平均薪資水準114年較113年成長達15.40%，公司將秉持獲利與員工及股東共享，
在有獲利水準下持續改善員工待遇及福利。",
"電機機械","3685","元創精密","5335","7","762","712","7.02%","817","713","14.59%","-1.02","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"數位雲端","3687","歐買尬","27610","34","812","803","1.12%","789","757","4.23%","4.67","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","872","3.20","N","Y","N","本公司個體為營業淨損，主要獲利來至於業外投資收入，然本年度平均薪資及薪資中位數分別上升1.12%及4.23%，尚屬合理。","本公司依營運績效、貢獻度評估薪資報酬,為強化管理效能並留任人才，將持續檢討與優化整體薪酬制度。公司章程已明訂基層員工酬勞比率,將持續重視員工福利。",
"電子零組件業","3689","湧德","122167","97","1259","1160","8.53%","1126","1081","4.16%","7.55","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"光電業","3691","碩禾","186574","228","818","811","0.86%","692","689","0.44%","-7.62","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","882","2.40","N","N","N","","",
"電腦及週邊設備業","3693","營邦","687946","611","1126","1384","-18.64%","965","1172","-17.66%","15.50","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","N","N","","",
"半導體業","3707","漢磊","779110","776","1004","947","6.02%","872","839","3.93%","-1.97","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1400","5.37","N","N","N","","",
"電腦及週邊設備業","3709","鑫聯大投控","226019","270","837","794","5.42%","695","657","5.78%","7.11","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","924","3.90","N","Y","N","本公司民國114年度EPS7.11元較113年度增加，主因CPU與存儲類產品銷量價齊揚、商用專案及佣金成長，帶動營收與毛利倍增，獲利增幅遠超成本。114年度非主管職全時員工之薪資總額、平均數及中位數亦較前一年度成長。","除依本公司章程第三十二條規定，於年度獲利時經董事會決議提撥百分之零點零一以上、百分之五以下為員工酬勞(並提撥不低於20%分派予基層員工)外，亦定期考核績效，調整薪酬升遷以回饋優秀員工，共享營運成果。",
"電子零組件業","3710","連展投控","83599","96","871","849","2.59%","784","773","1.42%","-1.48","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","797","2.47","N","N","N","","",
"綠能環保","3713","新晶投控","26640","49","544","505","7.72%","515","434","18.66%","-1.13","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","776","3.07","N","N","N","","",
"生技醫療業","4102","永日","77232","128","603","725","-16.83%","541","656","-17.53%","-0.34","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4105","東洋","686540","510","1346","1273","5.73%","1102","1073","2.70%","6.27","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4107","邦特","258412","406","636","626","1.60%","560","541","3.51%","7.78","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","N","因生醫產業各公司營運模式及人才結構差異大，產業平均值參考性有限。114年度非主管全時員工薪資總額年增6%，平均薪資及中位數分別提升2%及3%，公司並採穩健調薪策略。","公司將依市場趨勢及經營成果適時調整全時員工薪資，調幅維持約3%～6%，並參考同業薪酬水準逐步縮小與產業平均差距。同時提撥公司獲利5%以上作為員工酬勞及基層員工薪資調整，落實利潤共享機制。",
"生技醫療業","4109","加捷生醫","29058","56","519","518","0.19%","483","484","-0.21%","0.43","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4111","濟生","173124","266","651","616","5.68%","619","586","5.63%","2.75","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","N","因大型輸液健保給付價格調漲及新增外銷代工客戶，致營業收入與本期淨利顯著成長，EPS表現優於同業。","為配合整體獲利提升，並激勵員工士氣與留才策略，已於115年4月全面調薪，調幅為3.5%至7%，平均調幅5.5%。",
"建材營造","4113","聯上","16316","24","680","969","-29.82%","682","901","-24.31%","-0.43","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1054","2.09","N","N","N","","",
"生技醫療業","4114","健喬","622002","483","1288","1187","8.51%","1021","939","8.73%","1.66","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4116","明基醫","97585","108","904","910","-0.66%","817","838","-2.51%","1.75","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4120","友華","269424","230","1171","1096","6.84%","1001","932","7.40%","-6.54","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4121","優盛","54732","80","684","707","-3.25%","640","651","-1.69%","-0.36","            794","不適用","-","            586","不適用","-","            792","不適用","-","            591","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4123","晟德","199035","197","1010","998","1.20%","848","833","1.80%","12.33","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4126","太醫","489604","767","638","603","5.80%","577","532","8.46%","5.27","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","N","本公司近年營收穩健良好，長期開發供應多樣化醫材產品，基層人力需求較高，114年約占全體員工人數57.5%；全時員工平均薪資與前一年成長5.8%。","公司自113年動員工持股信託，持續優化薪酬福利措施，將經營成果及獲利與員工分享。",
"生技醫療業","4127","天良","33806","55","615","546","12.64%","511","499","2.40%","-0.22","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4128","中天","117315","122","962","982","-2.04%","757","793","-4.54%","-1.29","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","Y","114年度EPS較113年度成長，惟114年度非經理人之全時員工薪資平均數較113年度減少20仟元，減少幅度2.04%，係因113年度發放一次性獎金致薪資平均數略高於114年度。","本公司將持續依相關績效考核等辦法，進行獎金分派及調薪並視營運情況增進員工福利，將經營成果合理反映於員工薪酬。",
"生技醫療業","4129","聯合","586321","652","899","848","6.01%","860","813","5.78%","5.83","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4130","健亞","152084","180","845","880","-3.98%","758","781","-2.94%","0.10","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4131","浩泰","18157","21","865","712","21.49%","759","625","21.44%","-0.78","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4138","曜亞","96444","99","974","947","2.85%","819","767","6.78%","3.81","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4147","中裕","89824","84","1069","1037","3.09%","899","865","3.93%","-0.61","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4153","鈺緯","114796","127","904","866","4.39%","750","750","0.00%","1.54","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4160","訊聯基因","135166","143","945","948","-0.32%","863","821","5.12%","0.80","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4161","聿新科","110818","171","648","634","2.21%","562","559","0.54%","1.23","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4162","智擎","55749","31","1798","1987","-9.51%","1691","1848","-8.50%","2.70","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4163","鐿鈦","466071","645","723","694","4.18%","582","530","9.81%","5.13","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","N","本公司114年獲利較113年少，直接人員比例約40%，而114年員工薪資平均數較113年提高約4.2%，為同業平均數提高1.4%的3倍，依中部市場薪資水準、員工資歷及個人表現等因素給薪，尚屬合理。","本公司已於115年提高員工持股信託、發行限制員工權利新股及執行結構式調薪等措施。",
"生技醫療業","4166","友霖","232934","213","1094","0","0.00%","842","0","0.00%","0.90","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4167","松瑞藥","193025","261","740","791","-6.45%","661","701","-5.71%","1.72","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","Y","1.113年平均數較高係因竹南廠人力調整。
2.114年EPS係包含處分廠房獲利之業外收入(公司自2004年成立至今，近年透過處分竹南2個廠房，重心集中在台南廠區，逐步調整營運後方開始穩定獲利)。","1.穩定獲利下，除定期檢視市場薪資水準，仍持續多元化各福利、留才、獎勵措施，以確保整體薪酬福利具市場競爭力。
2.115Y起開辦員工持股計畫，讓員工共享公司營運成果，達到留才目的。",
"生技醫療業","4168","醣聯","45115","53","851","823","3.40%","739","737","0.27%","-2.16","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"農業科技","4171","瑞基","76855","130","591","638","-7.37%","540","573","-5.76%","-1.93","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","634","0.22","N","N","Y","EPS雖較前年度改善，但仍未達獲利。非經理人平均薪資較前一年度下降，係113年度因營運考量發放較高年終獎金，114年度依公司經營成果及獲利情形調整獎金發放所致。除變動獎金外，固定薪資及各項福利制度均維持穩定","將持續營運優化，提升整體經營績效及獲利能力。同時定期檢視薪酬制度，依公司營運成果、員工績效及產業水準適時調整薪資及獎酬政策，使員工能共享公司經營成果，藉以吸引及留任優秀人才，強化公司競爭力及永續發展",
"生技醫療業","4173","久裕","180355","217","831","783","6.13%","768","733","4.77%","1.16","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4174","浩鼎","142660","115","1241","1156","7.35%","1065","1045","1.91%","-15.61","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4175","杏一","764906","1186","645","610","5.74%","570","552","3.26%","3.68","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","Y","N","本公司以零售通路為主，第一線門市服務人員逾八成，與研發導向同業職能與薪資結構存在顯著差異。同仁專業養成期長，留任穩定性受多重因素挑戰。惟營運穩健，透過逐年調薪與獎酬機制，將經營成果合理反映於員工薪酬。","公司已透過年度調薪、晉升與績效獎勵制度、強化教育訓練與優化福利措施，穩定人力並提升薪酬競爭力。未來持續深化人才培育與留任策略，逐步改善人力結構與報酬水準。",
"生技醫療業","4183","福永生技","71455","93","768","761","0.92%","643","644","-0.16%","-0.33","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4188","安克","20083","22","913","959","-4.80%","772","866","-10.85%","-0.88","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4192","杏國","14463","20","723","711","1.69%","650","681","-4.55%","-1.30","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"生技醫療業","4198","欣大健康","36543","37","988","1023","-3.42%","866","818","5.87%","-1.96","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","798","1.60","N","N","N","","",
"食品工業","4205","中華食","204514","283","723","684","5.70%","715","676","5.77%","4.14","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","3.60","N","Y","N","一、地域性差異：北部消費水準、薪酬皆較高，參酌南部產業薪資水準制定薪資辦法。
二、產業特性：作業員工作性質簡單、輕體力無技術層次，薪資較低而降低整體平均數。
與高屏地區傳統產業相較，薪資水準尚屬合理。","一、本公司歷年來皆調薪約3%-6%。
二、未來將持續依南部高屏地區平均薪資水準制定。",
"食品工業","4207","環泰","149939","181","828","697","18.79%","778","690","12.75%","1.76","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","767","3.60","N","N","N","","",
"塑膠工業","4303","信立","24983","47","532","548","-2.92%","488","529","-7.75%","11.15","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","534","3.32","N","Y","Y","本公司薪資結構以學歷、機台為主、並依績效獎金辦法計算有效率及貢獻所應核發之獎金。公司經營績效透過績效獎金辦法與員工薪酬相聯結，係屬合理，理財商品之利潤透過員工薪酬制度與員工分享。","透過年度調薪與經營績效提升，將公司的整體績效與員工個人的薪資調整結合，讓員工分享公司成長的果實。",
"塑膠工業","4304","勝昱","27445","53","518","428","21.03%","484","428","13.08%","-1.16","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","534","3.32","N","N","N","","",
"塑膠工業","4305","世坤","74413","93","800","736","8.70%","621","603","2.99%","3.83","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","534","3.32","N","N","N","","",
"紡織纖維","4401","東隆興","327881","442","742","697","6.46%","638","594","7.41%","0.73","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"紡織纖維","4402","郡都開發","5938","9","660","646","2.17%","501","544","-7.90%","-0.13","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"紡織纖維","4406","新昕纖","59688","109","548","498","10.04%","446","464","-3.88%","-1.07","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"紡織纖維","4413","飛寶企業","35372","62","571","547","4.39%","526","509","3.34%","0.53","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"建材營造","4416","三圓","8228","10","823","1209","-31.93%","763","1007","-24.23%","-0.64","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","1054","2.09","N","N","N","","",
"紡織纖維","4417","金洲","141675","180","787","707","11.32%","671","589","13.92%","6.13","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"觀光餐旅","4419","皇家美食","6229","10","623","621","0.32%","529","462","14.50%","-1.45","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"紡織纖維","4420","光明","59295","101","587","516","13.76%","546","472","15.68%","5.53","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","Y","N","本公司114年度排除投資性不動產出售利益後之稅前淨利僅為12仟元，紡織本業經營績效並不理想，致員工薪資平均數低於同業水準。","本公司114年度全體員工調薪幅度達2~3%，故員工薪資平均數已較113年度成長13.7%，但仍低於同業平均數，未來仍會視營運狀況逐步調整公司薪資水準，以趨近同業行情為目標。",
"其他","4430","耀億","142714","276","517","511","1.17%","450","437","2.97%","-0.19","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","712","1.85","N","N","N","","",
"紡織纖維","4432","銘旺實","61294","65","943","911","3.51%","806","779","3.47%","0.88","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"紡織纖維","4433","興采","197225","294","671","669","0.30%","596","610","-2.30%","1.06","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","698","1.65","N","N","N","","",
"電機機械","4502","健信","74424","153","486","567","-14.29%","437","536","-18.47%","-1.51","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","Y","N","N","114年度受到整體車勢及關稅之影響致產生虧損，故員工加班費減少。","115年度新訂單量產，員工之加班費及獎金亦隨之增加。",
"電機機械","4503","金雨","127293","225","566","560","1.07%","510","504","1.19%","1.37","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","4506","崇友","1228841","1293","950","956","-0.63%","961","949","1.26%","6.52","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","Y","公司人數:114年度員工總數較113年度增加63人,成長率5.1%。其中外籍員工增加人數為30人。
薪資平均數：113年度為956,000元，114年度為950,000元，呈現0.6%小幅衰退，主要因外籍員工增加且以基本工資進用所致。","持續強化薪資結構分析，調整外籍員工薪資策略，推動績效與薪資連動制度，以平衡平均薪資與中位數薪資成長趨勢，提升整體薪酬競爭力。",
"電機機械","4510","高鋒","148896","238","626","605","3.47%","592","557","6.28%","-1.02","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","4513","福裕","84468","153","552","595","-7.23%","538","564","-4.61%","-1.79","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","4523","永彰","105403","119","886","748","18.45%","803","677","18.61%","22.26","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","4527","方方土霖","156120","182","858","918","-6.54%","806","883","-8.72%","3.40","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"電機機械","4528","江興鍛","111289","190","586","552","6.16%","555","532","4.32%","-0.31","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
"其他","4529","淳紳","8743","14","625","789","-20.79%","685","684","0.15%","-0.74","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","712","1.85","N","N","Y","本公司114年EPS (0.74)雖較前一年度 (1.30) 成長
但非經理人薪資減少係因:
(1)非經理人的定義更新爰修訂基層員工的定義時一併更新
(2)人員離職/異動","非經理人定義更新後，在一致的比較基礎下，未來將不會有平均薪資減少的情形&#65377;",
"觀光餐旅","4530","宏易","19004","32","594","466","27.47%","506","437","15.79%","0.34","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","640","0.88","N","N","N","","",
"電機機械","4533","協易機","215225","296","727","794","-8.44%","683","743","-8.08%","0.20","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","不適用","不適用","-","747","1.65","N","N","N","","",
